# E2_bin_center  hist_tree  hist_soft  hist_hard  hist_hard_sum
5.109989e+02 3.950000e+02 3.930000e+02 6.000000e+00 0.000000e+00
5.757041e+02 1.190000e+03 1.259000e+03 2.400000e+01 3.000000e+00
6.404093e+02 2.062000e+03 2.147000e+03 3.600000e+01 3.000000e+00
7.051145e+02 2.930000e+03 2.878000e+03 6.900000e+01 5.000000e+00
7.698197e+02 3.758000e+03 3.668000e+03 6.600000e+01 1.700000e+01
8.345249e+02 4.480000e+03 4.533000e+03 9.800000e+01 2.600000e+01
8.992300e+02 5.420000e+03 5.455000e+03 1.350000e+02 4.400000e+01
9.639352e+02 6.215000e+03 6.185000e+03 1.570000e+02 5.400000e+01
1.028640e+03 7.165000e+03 7.054000e+03 1.490000e+02 7.700000e+01
1.093346e+03 7.993000e+03 7.871000e+03 1.770000e+02 8.200000e+01
1.158051e+03 9.129000e+03 8.737000e+03 2.310000e+02 1.130000e+02
1.222756e+03 9.676000e+03 9.548000e+03 2.530000e+02 1.330000e+02
1.287461e+03 1.069900e+04 1.031000e+04 2.830000e+02 1.310000e+02
1.352166e+03 1.140700e+04 1.119600e+04 2.820000e+02 1.740000e+02
1.416872e+03 1.205600e+04 1.198400e+04 3.340000e+02 1.880000e+02
1.481577e+03 1.299800e+04 1.283700e+04 3.940000e+02 2.460000e+02
1.546282e+03 1.388200e+04 1.353000e+04 4.190000e+02 2.910000e+02
1.610987e+03 1.460500e+04 1.432800e+04 4.050000e+02 2.620000e+02
1.675692e+03 1.550700e+04 1.504500e+04 4.650000e+02 3.110000e+02
1.740397e+03 1.621300e+04 1.552700e+04 5.240000e+02 3.780000e+02
1.805103e+03 1.655300e+04 1.619400e+04 4.870000e+02 3.740000e+02
1.869808e+03 1.749800e+04 1.705800e+04 5.270000e+02 3.850000e+02
1.934513e+03 1.795500e+04 1.747400e+04 5.870000e+02 4.580000e+02
1.999218e+03 1.850200e+04 1.798700e+04 6.200000e+02 4.680000e+02
2.063923e+03 1.924300e+04 1.859600e+04 6.360000e+02 5.360000e+02
2.128629e+03 1.968400e+04 1.921900e+04 6.690000e+02 5.380000e+02
