# E2_bin_center  ratio_distinguishable  ratio_indistinguishable  sirlin
5.109989e+02 1.010127e+00 9.949367e-01 nan
5.757041e+02 1.078151e+00 1.060504e+00 1.035799e+00
6.404093e+02 1.058681e+00 1.042677e+00 1.034190e+00
7.051145e+02 1.005802e+00 9.839590e-01 1.032805e+00
7.698197e+02 9.936136e-01 9.805748e-01 1.031585e+00
8.345249e+02 1.033705e+00 1.017634e+00 1.030488e+00
8.992300e+02 1.031365e+00 1.014576e+00 1.029487e+00
9.639352e+02 1.020434e+00 1.003862e+00 1.028560e+00
1.028640e+03 1.005304e+00 9.952547e-01 1.027693e+00
1.093346e+03 1.006881e+00 9.949956e-01 1.026874e+00
1.158051e+03 9.823639e-01 9.694381e-01 1.026095e+00
1.222756e+03 1.012919e+00 1.000517e+00 1.025348e+00
1.287461e+03 9.900925e-01 9.758856e-01 1.024629e+00
1.352166e+03 1.006224e+00 9.967564e-01 1.023933e+00
1.416872e+03 1.021732e+00 1.009622e+00 1.023257e+00
1.481577e+03 1.017926e+00 1.006539e+00 1.022598e+00
1.546282e+03 1.004826e+00 9.956058e-01 1.021953e+00
1.610987e+03 1.008764e+00 9.989730e-01 1.021321e+00
1.675692e+03 1.000193e+00 9.902625e-01 1.020699e+00
1.740397e+03 9.900080e-01 9.810029e-01 1.020087e+00
1.805103e+03 1.007733e+00 1.000906e+00 1.019483e+00
1.869808e+03 1.004972e+00 9.968568e-01 1.018886e+00
1.934513e+03 1.005904e+00 9.987190e-01 1.018296e+00
1.999218e+03 1.005675e+00 9.974597e-01 1.017710e+00
2.063923e+03 9.994284e-01 9.942317e-01 1.017129e+00
2.128629e+03 1.010364e+00 1.003709e+00 1.016552e+00
2.193334e+03 1.009466e+00 1.004207e+00 1.015978e+00
2.258039e+03 1.000147e+00 9.945141e-01 1.015407e+00
2.322744e+03 1.009800e+00 1.007123e+00 1.014837e+00
2.387449e+03 9.689086e-01 9.633269e-01 1.014269e+00
2.452154e+03 1.010032e+00 1.007745e+00 1.013702e+00
2.516860e+03 1.000691e+00 9.987106e-01 1.013136e+00
2.581565e+03 1.001996e+00 1.001860e+00 1.012569e+00
2.646270e+03 9.875135e-01 9.847736e-01 1.012002e+00
2.710975e+03 9.942183e-01 9.917792e-01 1.011435e+00
2.775680e+03 9.927341e-01 9.905364e-01 1.010866e+00
2.840386e+03 9.915715e-01 9.890742e-01 1.010295e+00
2.905091e+03 1.008491e+00 1.012215e+00 1.009723e+00
2.969796e+03 1.000772e+00 1.002226e+00 1.009148e+00
3.034501e+03 9.958138e-01 9.965418e-01 1.008569e+00
3.099206e+03 9.937001e-01 9.936544e-01 1.007988e+00
3.163911e+03 1.000926e+00 1.000694e+00 1.007402e+00
3.228617e+03 1.021095e+00 1.023152e+00 1.006813e+00
3.293322e+03 9.898699e-01 9.930386e-01 1.006218e+00
3.358027e+03 9.821076e-01 9.862921e-01 1.005618e+00
3.422732e+03 9.903149e-01 9.968710e-01 1.005011e+00
3.487437e+03 9.938635e-01 9.984278e-01 1.004398e+00
3.552143e+03 1.006633e+00 1.012117e+00 1.003778e+00
3.616848e+03 9.934359e-01 9.962875e-01 1.003150e+00
3.681553e+03 1.004818e+00 1.011148e+00 1.002513e+00
3.746258e+03 1.017511e+00 1.023271e+00 1.001867e+00
3.810963e+03 1.007883e+00 1.012939e+00 1.001210e+00
3.875669e+03 9.993113e-01 1.006261e+00 1.000542e+00
3.940374e+03 9.879769e-01 9.936960e-01 9.998616e-01
4.005079e+03 1.016961e+00 1.030446e+00 9.991674e-01
4.069784e+03 9.923154e-01 1.004453e+00 9.984583e-01
4.134489e+03 1.014917e+00 1.023898e+00 9.977328e-01
4.199194e+03 1.006574e+00 1.018585e+00 9.969893e-01
4.263900e+03 9.817188e-01 9.918845e-01 9.962260e-01
4.328605e+03 9.901298e-01 1.001645e+00 9.954406e-01
4.393310e+03 9.723768e-01 9.852941e-01 9.946308e-01
4.458015e+03 1.002165e+00 1.014074e+00 9.937937e-01
4.522720e+03 1.008406e+00 1.027942e+00 9.929261e-01
4.587426e+03 9.874952e-01 1.004254e+00 9.920242e-01
4.652131e+03 9.671735e-01 9.846526e-01 9.910833e-01
4.716836e+03 9.903908e-01 1.013773e+00 9.900979e-01
4.781541e+03 1.009854e+00 1.020620e+00 9.890614e-01
4.846246e+03 9.913666e-01 1.011792e+00 9.879653e-01
4.910951e+03 9.734146e-01 9.912195e-01 9.867994e-01
4.975657e+03 9.773062e-01 1.001179e+00 9.855501e-01
5.040362e+03 9.753534e-01 1.002537e+00 9.841999e-01
5.105067e+03 9.828400e-01 1.001287e+00 9.827251e-01
5.169772e+03 9.851544e-01 1.010095e+00 9.810924e-01
5.234477e+03 9.538341e-01 9.968701e-01 9.792534e-01
5.299183e+03 9.852273e-01 1.004545e+00 9.771331e-01
5.363888e+03 9.108392e-01 9.510490e-01 9.746061e-01
5.428593e+03 9.559322e-01 9.796610e-01 9.714382e-01
5.493298e+03 9.306931e-01 9.603960e-01 9.671049e-01
5.558003e+03 8.888889e-01 8.888889e-01 9.599370e-01
