# Er_bin_center  residual
0.000000e+00 8.691495e-01
1.073409e-02 1.040739e+00
2.146818e-02 9.531822e-01
3.220226e-02 9.562802e-01
4.293635e-02 9.805457e-01
5.367044e-02 9.747796e-01
6.440453e-02 1.025048e+00
7.513862e-02 1.011390e+00
8.587270e-02 9.987505e-01
9.660679e-02 1.000991e+00
1.073409e-01 1.007047e+00
1.180750e-01 9.905220e-01
1.288091e-01 9.860411e-01
1.395431e-01 9.833828e-01
1.502772e-01 9.612683e-01
1.610113e-01 9.952205e-01
1.717454e-01 1.008516e+00
1.824795e-01 9.941227e-01
1.932136e-01 1.009485e+00
2.039477e-01 9.811702e-01
2.146818e-01 9.915360e-01
2.254158e-01 9.946762e-01
2.361499e-01 9.944215e-01
2.468840e-01 9.892943e-01
2.576181e-01 9.771989e-01
2.683522e-01 1.013560e+00
2.790863e-01 9.996196e-01
2.898204e-01 1.008841e+00
3.005545e-01 9.920979e-01
3.112886e-01 1.007676e+00
3.220226e-01 9.774321e-01
3.327567e-01 1.000683e+00
3.434908e-01 9.900824e-01
3.542249e-01 1.009910e+00
3.649590e-01 9.886109e-01
3.756931e-01 9.871779e-01
3.864272e-01 9.957294e-01
3.971613e-01 9.935749e-01
4.078953e-01 9.869402e-01
4.186294e-01 1.000519e+00
4.293635e-01 9.938009e-01
4.400976e-01 9.887696e-01
4.508317e-01 9.885931e-01
4.615658e-01 9.843180e-01
4.722999e-01 9.848344e-01
4.830340e-01 9.691003e-01
4.937680e-01 9.823350e-01
5.045021e-01 9.805509e-01
5.152362e-01 9.783826e-01
