# Er_bin_center  hist_tree  hist_soft  hist_hard
0.000000e+00 1.320000e+02 1.100000e+02 6.000000e+00
1.073409e-02 3.970000e+02 4.000000e+02 1.700000e+01
2.146818e-02 7.800000e+02 7.270000e+02 2.400000e+01
3.220226e-02 1.203000e+03 1.110000e+03 5.200000e+01
4.293635e-02 1.630000e+03 1.546000e+03 6.800000e+01
5.367044e-02 2.182000e+03 2.053000e+03 9.500000e+01
6.440453e-02 2.710000e+03 2.695000e+03 1.090000e+02
7.513862e-02 3.424000e+03 3.370000e+03 1.260000e+02
8.587270e-02 4.053000e+03 3.903000e+03 1.840000e+02
9.660679e-02 4.704000e+03 4.576000e+03 1.780000e+02
1.073409e-01 5.454000e+03 5.337000e+03 2.080000e+02
1.180750e-01 6.235000e+03 5.979000e+03 2.570000e+02
1.288091e-01 7.175000e+03 6.844000e+03 3.000000e+02
1.395431e-01 7.881000e+03 7.499000e+03 3.270000e+02
1.502772e-01 8.868000e+03 8.275000e+03 3.350000e+02
1.610113e-01 9.673000e+03 9.334000e+03 3.860000e+02
1.717454e-01 1.046600e+04 1.023100e+04 4.250000e+02
1.824795e-01 1.143300e+04 1.101800e+04 4.580000e+02
1.932136e-01 1.234100e+04 1.209200e+04 4.850000e+02
2.039477e-01 1.338200e+04 1.271400e+04 5.450000e+02
2.146818e-01 1.447600e+04 1.396400e+04 5.290000e+02
2.254158e-01 1.552900e+04 1.494300e+04 6.530000e+02
2.361499e-01 1.650300e+04 1.589900e+04 6.710000e+02
2.468840e-01 1.780100e+04 1.705500e+04 7.270000e+02
2.576181e-01 1.906900e+04 1.808100e+04 7.370000e+02
2.683522e-01 1.987200e+04 1.953400e+04 7.990000e+02
2.790863e-01 2.117100e+04 2.055800e+04 8.090000e+02
2.898204e-01 2.207900e+04 2.159200e+04 8.950000e+02
3.005545e-01 2.361400e+04 2.273100e+04 9.240000e+02
3.112886e-01 2.466100e+04 2.412100e+04 9.670000e+02
3.220226e-01 2.598700e+04 2.464200e+04 1.009000e+03
3.327567e-01 2.722400e+04 2.646200e+04 1.043000e+03
3.434908e-01 2.864400e+04 2.748100e+04 1.155000e+03
3.542249e-01 2.982300e+04 2.929100e+04 1.115000e+03
3.649590e-01 3.141500e+04 3.020500e+04 1.155000e+03
3.756931e-01 3.235200e+04 3.102100e+04 1.228000e+03
3.864272e-01 3.372000e+04 3.251000e+04 1.391000e+03
3.971613e-01 3.516700e+04 3.405900e+04 1.221000e+03
4.078953e-01 3.653400e+04 3.501800e+04 1.391000e+03
4.186294e-01 3.780400e+04 3.673000e+04 1.458000e+03
4.293635e-01 3.954300e+04 3.821500e+04 1.464000e+03
4.400976e-01 4.082800e+04 3.921800e+04 1.545000e+03
4.508317e-01 4.184300e+04 4.021700e+04 1.552000e+03
4.615658e-01 4.335100e+04 4.152800e+04 1.561000e+03
4.722999e-01 4.468800e+04 4.288900e+04 1.552000e+03
4.830340e-01 4.609300e+04 4.347500e+04 1.638000e+03
4.937680e-01 4.622100e+04 4.421400e+04 1.636000e+03
5.045021e-01 4.423700e+04 4.237900e+04 1.424000e+03
5.152362e-01 2.562800e+04 2.448200e+04 8.390000e+02
