# E2_bin_center  ratio_distinguishable  ratio_indistinguishable  sirlin
5.109989e+02 1.024400e+00 1.014658e+00 nan
5.553552e+02 1.019456e+00 1.010113e+00 1.026921e+00
5.997114e+02 1.017305e+00 1.007731e+00 1.026410e+00
6.440676e+02 1.017295e+00 1.007534e+00 1.025915e+00
6.884238e+02 1.013712e+00 1.004166e+00 1.025433e+00
7.327801e+02 1.017168e+00 1.007985e+00 1.024962e+00
7.771363e+02 1.015198e+00 1.006047e+00 1.024499e+00
8.214925e+02 1.018656e+00 1.009662e+00 1.024042e+00
8.658487e+02 1.013904e+00 1.005026e+00 1.023591e+00
9.102050e+02 1.013914e+00 1.005302e+00 1.023143e+00
9.545612e+02 1.013456e+00 1.004925e+00 1.022699e+00
9.989174e+02 1.014580e+00 1.006411e+00 1.022258e+00
1.043274e+03 1.012359e+00 1.004383e+00 1.021819e+00
1.087630e+03 1.012383e+00 1.004482e+00 1.021382e+00
1.131986e+03 1.010204e+00 1.002699e+00 1.020946e+00
1.176342e+03 1.011880e+00 1.004570e+00 1.020512e+00
1.220699e+03 1.010559e+00 1.003764e+00 1.020078e+00
1.265055e+03 1.008474e+00 1.001632e+00 1.019644e+00
1.309411e+03 1.009226e+00 1.002801e+00 1.019211e+00
1.353767e+03 1.008394e+00 1.002276e+00 1.018778e+00
1.398123e+03 1.008965e+00 1.003064e+00 1.018345e+00
1.442480e+03 1.007543e+00 1.002079e+00 1.017912e+00
1.486836e+03 1.007454e+00 1.001992e+00 1.017478e+00
1.531192e+03 1.006268e+00 1.001600e+00 1.017044e+00
1.575548e+03 1.006560e+00 1.001825e+00 1.016609e+00
1.619905e+03 1.004390e+00 1.000091e+00 1.016172e+00
1.664261e+03 1.003430e+00 9.995576e-01 1.015735e+00
1.708617e+03 1.004362e+00 1.000639e+00 1.015296e+00
1.752973e+03 1.003469e+00 1.000122e+00 1.014856e+00
1.797329e+03 1.003520e+00 1.000565e+00 1.014413e+00
1.841686e+03 1.003462e+00 1.000771e+00 1.013969e+00
1.886042e+03 1.001435e+00 9.989598e-01 1.013523e+00
1.930398e+03 1.001942e+00 1.000147e+00 1.013075e+00
1.974754e+03 1.002782e+00 1.001243e+00 1.012624e+00
2.019111e+03 1.002976e+00 1.001670e+00 1.012170e+00
2.063467e+03 9.997073e-01 9.987523e-01 1.011713e+00
2.107823e+03 9.997195e-01 9.993384e-01 1.011253e+00
2.152179e+03 9.996273e-01 9.994216e-01 1.010790e+00
2.196535e+03 9.981120e-01 9.986154e-01 1.010322e+00
2.240892e+03 9.986464e-01 9.995049e-01 1.009851e+00
2.285248e+03 9.980325e-01 9.989827e-01 1.009375e+00
2.329604e+03 9.974332e-01 9.988437e-01 1.008895e+00
2.373960e+03 9.963920e-01 9.984406e-01 1.008410e+00
2.418317e+03 9.954386e-01 9.978811e-01 1.007919e+00
2.462673e+03 9.936692e-01 9.962205e-01 1.007423e+00
2.507029e+03 9.940112e-01 9.972364e-01 1.006920e+00
2.551385e+03 9.940097e-01 9.974312e-01 1.006411e+00
2.595741e+03 9.933197e-01 9.973922e-01 1.005895e+00
2.640098e+03 9.937791e-01 9.983860e-01 1.005370e+00
2.684454e+03 9.923255e-01 9.972349e-01 1.004838e+00
2.728810e+03 9.919328e-01 9.972060e-01 1.004297e+00
2.773166e+03 9.923896e-01 9.981636e-01 1.003746e+00
2.817523e+03 9.904304e-01 9.967611e-01 1.003184e+00
2.861879e+03 9.897281e-01 9.969551e-01 1.002611e+00
2.906235e+03 9.898243e-01 9.969828e-01 1.002026e+00
2.950591e+03 9.895056e-01 9.976624e-01 1.001428e+00
2.994947e+03 9.882927e-01 9.970155e-01 1.000815e+00
3.039304e+03 9.866832e-01 9.958644e-01 1.000186e+00
3.083660e+03 9.854007e-01 9.952418e-01 9.995397e-01
3.128016e+03 9.871829e-01 9.974758e-01 9.988740e-01
3.172372e+03 9.877894e-01 9.991078e-01 9.981871e-01
3.216729e+03 9.860659e-01 9.978784e-01 9.974764e-01
3.261085e+03 9.827194e-01 9.948987e-01 9.967393e-01
3.305441e+03 9.836337e-01 9.967568e-01 9.959726e-01
3.349797e+03 9.810442e-01 9.945035e-01 9.951723e-01
3.394154e+03 9.774548e-01 9.923600e-01 9.943338e-01
3.438510e+03 9.808416e-01 9.960646e-01 9.934514e-01
3.482866e+03 9.794715e-01 9.955828e-01 9.925181e-01
3.527222e+03 9.772535e-01 9.946503e-01 9.915251e-01
3.571578e+03 9.762081e-01 9.951541e-01 9.904611e-01
3.615935e+03 9.790148e-01 9.982272e-01 9.893111e-01
3.660291e+03 9.774430e-01 9.974942e-01 9.880552e-01
3.704647e+03 9.715282e-01 9.947096e-01 9.866652e-01
3.749003e+03 9.751424e-01 9.982896e-01 9.851002e-01
3.793360e+03 9.769562e-01 1.003373e+00 9.832968e-01
3.837716e+03 9.721218e-01 9.996749e-01 9.811491e-01
3.882072e+03 9.694503e-01 1.001473e+00 9.784593e-01
3.926428e+03 9.372971e-01 9.742289e-01 9.747844e-01
3.970784e+03 9.613221e-01 1.000703e+00 9.687156e-01
