# E2_bin_center  hist_tree  hist_soft  hist_hard  hist_hard_sum
5.109989e+02 7.257800e+04 7.352000e+04 6.760000e+02 1.000000e+01
5.553552e+02 1.328540e+05 1.338820e+05 1.317000e+03 9.500000e+01
5.997114e+02 1.808770e+05 1.824350e+05 1.940000e+03 2.420000e+02
6.440676e+02 2.260900e+05 2.261210e+05 2.746000e+03 4.990000e+02
6.884238e+02 2.689400e+05 2.695010e+05 3.389000e+03 8.730000e+02
7.327801e+02 3.121380e+05 3.130250e+05 4.200000e+03 1.301000e+03
7.771363e+02 3.543550e+05 3.554280e+05 5.004000e+03 1.728000e+03
8.214925e+02 3.949730e+05 3.965160e+05 5.856000e+03 2.277000e+03
8.658487e+02 4.392540e+05 4.381910e+05 6.829000e+03 2.957000e+03
9.102050e+02 4.790810e+05 4.784700e+05 7.969000e+03 3.753000e+03
9.545612e+02 5.220900e+05 5.189400e+05 8.811000e+03 4.412000e+03
9.989174e+02 5.609360e+05 5.573900e+05 1.004600e+04 5.458000e+03
1.043274e+03 5.999600e+05 5.965760e+05 1.108900e+04 6.407000e+03
1.087630e+03 6.395440e+05 6.319500e+05 1.237300e+04 7.355000e+03
1.131986e+03 6.764900e+05 6.692320e+05 1.339000e+04 8.308000e+03
1.176342e+03 7.115330e+05 7.045200e+05 1.457900e+04 9.307000e+03
1.220699e+03 7.469570e+05 7.387540e+05 1.554100e+04 1.044200e+04
1.265055e+03 7.812640e+05 7.727330e+05 1.691900e+04 1.171600e+04
1.309411e+03 8.145940e+05 8.040590e+05 1.805600e+04 1.287800e+04
1.353767e+03 8.459360e+05 8.324840e+05 1.908600e+04 1.382900e+04
1.398123e+03 8.754670e+05 8.599850e+05 2.027200e+04 1.532600e+04
1.442480e+03 9.023200e+05 8.872200e+05 2.148300e+04 1.612900e+04
1.486836e+03 9.291220e+05 9.116640e+05 2.277300e+04 1.796100e+04
1.531192e+03 9.524630e+05 9.339890e+05 2.392900e+04 1.925800e+04
1.575548e+03 9.742710e+05 9.573990e+05 2.491200e+04 2.018600e+04
1.619905e+03 9.963100e+05 9.760620e+05 2.571500e+04 2.170200e+04
1.664261e+03 1.012156e+06 9.919440e+05 2.670600e+04 2.266200e+04
1.708617e+03 1.029360e+06 1.008134e+06 2.792700e+04 2.409000e+04
1.752973e+03 1.044061e+06 1.018982e+06 2.867200e+04 2.500400e+04
1.797329e+03 1.056269e+06 1.028897e+06 2.961200e+04 2.644200e+04
1.841686e+03 1.065655e+06 1.038638e+06 3.011200e+04 2.743700e+04
1.886042e+03 1.074610e+06 1.044854e+06 3.095600e+04 2.840300e+04
1.930398e+03 1.078678e+06 1.049531e+06 3.128600e+04 2.925300e+04
1.974754e+03 1.081895e+06 1.051449e+06 3.220800e+04 3.051900e+04
2.019111e+03 1.084791e+06 1.049921e+06 3.261000e+04 3.146800e+04
2.063467e+03 1.081906e+06 1.048717e+06 3.292400e+04 3.205400e+04
2.107823e+03 1.077305e+06 1.046254e+06 3.347300e+04 3.292900e+04
2.152179e+03 1.073564e+06 1.037535e+06 3.372400e+04 3.354700e+04
2.196535e+03 1.064604e+06 1.029814e+06 3.378500e+04 3.419100e+04
2.240892e+03 1.054878e+06 1.019330e+06 3.383500e+04 3.481100e+04
2.285248e+03 1.044735e+06 1.006109e+06 3.377500e+04 3.523700e+04
2.329604e+03 1.028265e+06 9.922750e+05 3.390600e+04 3.496600e+04
2.373960e+03 1.012045e+06 9.759100e+05 3.391600e+04 3.574300e+04
2.418317e+03 9.947100e+05 9.573540e+05 3.386300e+04 3.602300e+04
2.462673e+03 9.755480e+05 9.366180e+05 3.317600e+04 3.595500e+04
2.507029e+03 9.515120e+05 9.147910e+05 3.261300e+04 3.546400e+04
2.551385e+03 9.301370e+05 8.937060e+05 3.227300e+04 3.577700e+04
2.595741e+03 9.031810e+05 8.661810e+05 3.179400e+04 3.507900e+04
2.640098e+03 8.770410e+05 8.407390e+05 3.122400e+04 3.503400e+04
2.684454e+03 8.482660e+05 8.133530e+05 3.046300e+04 3.462900e+04
2.728810e+03 8.173340e+05 7.818160e+05 2.936600e+04 3.401600e+04
