# Er_bin_center  residual
0.000000e+00 -1.020264e-01
2.886605e-02 -9.531354e-02
5.773210e-02 -9.592207e-02
8.659815e-02 -9.572127e-02
1.154642e-01 -9.547789e-02
1.443302e-01 -9.435374e-02
1.731963e-01 -9.582166e-02
2.020623e-01 -9.574120e-02
2.309284e-01 -9.642015e-02
2.597944e-01 -9.769525e-02
2.886605e-01 -9.642361e-02
3.175265e-01 -9.772202e-02
3.463926e-01 -9.566059e-02
3.752586e-01 -9.798760e-02
4.041247e-01 -9.783755e-02
4.329907e-01 -9.554567e-02
4.618568e-01 -9.687510e-02
4.907228e-01 -9.848811e-02
5.195889e-01 -9.729583e-02
5.484549e-01 -9.771716e-02
5.773210e-01 -9.590679e-02
6.061870e-01 -9.842965e-02
6.350531e-01 -9.700678e-02
6.639191e-01 -9.627347e-02
6.927852e-01 -9.723023e-02
7.216512e-01 -9.362964e-02
7.505173e-01 -9.668326e-02
7.793833e-01 -9.377467e-02
8.082494e-01 -9.738528e-02
8.371154e-01 -9.818736e-02
8.659815e-01 -9.722931e-02
8.948475e-01 -9.727853e-02
9.237136e-01 -9.839790e-02
9.525796e-01 -9.797961e-02
9.814457e-01 -9.795486e-02
1.010312e+00 -9.709158e-02
1.039178e+00 -9.980933e-02
1.068044e+00 -9.620744e-02
1.096910e+00 -1.002431e-01
1.125776e+00 -9.751887e-02
1.154642e+00 -9.691790e-02
1.183508e+00 -9.830035e-02
1.212374e+00 -1.006544e-01
1.241240e+00 -1.001487e-01
1.270106e+00 -1.015424e-01
1.298972e+00 -1.019457e-01
1.327838e+00 -1.003640e-01
1.356704e+00 -1.090492e-01
1.385570e+00 -1.173129e-01
