# E2_bin_center  hist_tree  hist_soft  hist_hard  hist_hard_sum
5.109989e+02 2.011013e+06 2.957376e+06 6.600000e+02 5.100000e+01
5.179109e+02 2.058273e+06 2.453600e+06 1.090000e+03 2.740000e+02
5.248228e+02 2.013013e+06 2.261168e+06 1.528000e+03 5.000000e+02
5.317347e+02 1.984506e+06 2.155859e+06 1.933000e+03 7.290000e+02
5.386466e+02 1.963479e+06 2.091097e+06 2.396000e+03 1.185000e+03
5.455585e+02 1.948319e+06 2.044863e+06 2.876000e+03 1.393000e+03
5.524705e+02 1.936625e+06 2.013074e+06 3.200000e+03 1.737000e+03
5.593824e+02 1.926424e+06 1.983142e+06 3.563000e+03 2.085000e+03
5.662943e+02 1.914666e+06 1.957191e+06 4.078000e+03 2.478000e+03
5.732062e+02 1.906121e+06 1.938860e+06 4.256000e+03 2.887000e+03
5.801181e+02 1.903278e+06 1.920052e+06 4.776000e+03 3.155000e+03
5.870301e+02 1.891776e+06 1.903472e+06 5.087000e+03 3.463000e+03
5.939420e+02 1.886988e+06 1.890837e+06 5.531000e+03 3.903000e+03
6.008539e+02 1.878355e+06 1.875305e+06 5.845000e+03 4.310000e+03
6.077658e+02 1.870890e+06 1.862235e+06 6.268000e+03 4.756000e+03
6.146777e+02 1.865539e+06 1.850469e+06 6.518000e+03 5.138000e+03
6.215896e+02 1.857523e+06 1.838525e+06 6.981000e+03 5.435000e+03
6.285016e+02 1.850682e+06 1.828291e+06 7.111000e+03 5.693000e+03
6.354135e+02 1.841673e+06 1.814214e+06 7.421000e+03 6.031000e+03
6.423254e+02 1.835125e+06 1.803056e+06 7.951000e+03 6.453000e+03
6.492373e+02 1.828154e+06 1.794438e+06 8.337000e+03 6.892000e+03
6.561492e+02 1.817441e+06 1.780485e+06 8.494000e+03 7.277000e+03
6.630612e+02 1.807470e+06 1.766411e+06 8.660000e+03 7.626000e+03
6.699731e+02 1.796294e+06 1.756106e+06 9.174000e+03 7.998000e+03
6.768850e+02 1.784696e+06 1.742589e+06 9.390000e+03 8.288000e+03
6.837969e+02 1.775410e+06 1.728216e+06 9.622000e+03 8.552000e+03
6.907088e+02 1.760903e+06 1.715944e+06 9.938000e+03 8.952000e+03
6.976208e+02 1.751234e+06 1.699379e+06 9.983000e+03 9.271000e+03
7.045327e+02 1.734060e+06 1.685432e+06 1.025500e+04 9.614000e+03
7.114446e+02 1.721861e+06 1.669740e+06 1.055300e+04 9.650000e+03
7.183565e+02 1.705974e+06 1.651443e+06 1.084300e+04 1.013100e+04
7.252684e+02 1.690683e+06 1.631513e+06 1.086400e+04 1.033400e+04
7.321803e+02 1.672094e+06 1.614299e+06 1.118600e+04 1.082000e+04
7.390923e+02 1.651637e+06 1.594563e+06 1.126100e+04 1.098000e+04
7.460042e+02 1.631779e+06 1.572934e+06 1.152400e+04 1.123200e+04
7.529161e+02 1.608927e+06 1.551140e+06 1.153300e+04 1.149100e+04
7.598280e+02 1.585718e+06 1.528012e+06 1.173600e+04 1.150300e+04
7.667399e+02 1.564272e+06 1.503000e+06 1.182800e+04 1.192000e+04
7.736519e+02 1.538794e+06 1.476426e+06 1.168800e+04 1.168300e+04
7.805638e+02 1.510790e+06 1.449917e+06 1.184400e+04 1.216700e+04
7.874757e+02 1.483479e+06 1.422326e+06 1.185200e+04 1.234800e+04
7.943876e+02 1.455613e+06 1.393774e+06 1.167500e+04 1.208900e+04
8.012995e+02 1.425149e+06 1.359564e+06 1.193200e+04 1.235100e+04
8.082115e+02 1.394336e+06 1.331850e+06 1.166000e+04 1.238800e+04
8.151234e+02 1.360012e+06 1.294810e+06 1.174400e+04 1.246500e+04
8.220353e+02 1.325179e+06 1.259208e+06 1.175800e+04 1.243000e+04
8.289472e+02 1.289697e+06 1.225444e+06 1.163600e+04 1.251600e+04
8.358591e+02 1.252692e+06 1.186512e+06 1.148500e+04 1.264000e+04
8.427710e+02 1.212271e+06 1.148579e+06 1.120900e+04 1.244800e+04
8.496830e+02 1.174766e+06 1.107634e+06 1.112800e+04 1.219800e+04
8.565949e+02 1.131277e+06 1.069140e+06 1.077600e+04 1.204700e+04
