# E2_bin_center  ratio_distinguishable  ratio_indistinguishable  sirlin
5.109989e+02 1.003428e+00 1.003123e+00 nan
5.179109e+02 1.003125e+00 1.002675e+00 1.018517e+00
5.248228e+02 1.002788e+00 1.002243e+00 1.018460e+00
5.317347e+02 1.001942e+00 1.001350e+00 1.018400e+00
5.386466e+02 1.003122e+00 1.002484e+00 1.018338e+00
5.455585e+02 1.002156e+00 1.001479e+00 1.018273e+00
5.524705e+02 1.002344e+00 1.001629e+00 1.018207e+00
5.593824e+02 1.001362e+00 1.000631e+00 1.018138e+00
5.662943e+02 1.001205e+00 1.000451e+00 1.018067e+00
5.732062e+02 1.003290e+00 1.002456e+00 1.017993e+00
5.801181e+02 1.001418e+00 1.000627e+00 1.017918e+00
5.870301e+02 1.003663e+00 1.002875e+00 1.017841e+00
5.939420e+02 1.001217e+00 1.000357e+00 1.017762e+00
6.008539e+02 1.002289e+00 1.001442e+00 1.017680e+00
6.077658e+02 1.002641e+00 1.001814e+00 1.017597e+00
6.146777e+02 1.002288e+00 1.001469e+00 1.017512e+00
6.215896e+02 1.001395e+00 1.000689e+00 1.017424e+00
6.285016e+02 1.000233e+00 9.993815e-01 1.017335e+00
6.354135e+02 1.002400e+00 1.001682e+00 1.017244e+00
6.423254e+02 1.002522e+00 1.001784e+00 1.017151e+00
6.492373e+02 1.000259e+00 9.995866e-01 1.017056e+00
6.561492e+02 1.001586e+00 1.000754e+00 1.016959e+00
6.630612e+02 1.001366e+00 1.000717e+00 1.016861e+00
6.699731e+02 9.997831e-01 9.992669e-01 1.016760e+00
6.768850e+02 1.000947e+00 1.000257e+00 1.016657e+00
6.837969e+02 1.000981e+00 1.000455e+00 1.016553e+00
6.907088e+02 1.000055e+00 9.994229e-01 1.016447e+00
6.976208e+02 1.000437e+00 9.999178e-01 1.016338e+00
7.045327e+02 1.001450e+00 1.001038e+00 1.016228e+00
7.114446e+02 1.000191e+00 9.996788e-01 1.016116e+00
7.183565e+02 1.000872e+00 1.000565e+00 1.016001e+00
7.252684e+02 1.000526e+00 1.000099e+00 1.015885e+00
7.321803e+02 9.995562e-01 9.992673e-01 1.015767e+00
7.390923e+02 9.999891e-01 9.999086e-01 1.015646e+00
7.460042e+02 9.986857e-01 9.985976e-01 1.015523e+00
7.529161e+02 9.999354e-01 9.998087e-01 1.015399e+00
7.598280e+02 1.001000e+00 1.000983e+00 1.015271e+00
7.667399e+02 9.991965e-01 9.992323e-01 1.015142e+00
7.736519e+02 9.981495e-01 9.982539e-01 1.015010e+00
7.805638e+02 9.985214e-01 9.986845e-01 1.014876e+00
7.874757e+02 9.989145e-01 9.990612e-01 1.014739e+00
7.943876e+02 9.993554e-01 9.996732e-01 1.014600e+00
8.012995e+02 9.986075e-01 9.990242e-01 1.014458e+00
8.082115e+02 9.984297e-01 9.989221e-01 1.014313e+00
8.151234e+02 9.970846e-01 9.974321e-01 1.014165e+00
8.220353e+02 9.997153e-01 1.000345e+00 1.014014e+00
8.289472e+02 9.990798e-01 9.998442e-01 1.013860e+00
8.358591e+02 1.000237e+00 1.000915e+00 1.013703e+00
8.427710e+02 9.975492e-01 9.983620e-01 1.013542e+00
8.496830e+02 9.979438e-01 9.989608e-01 1.013378e+00
8.565949e+02 9.966036e-01 9.976787e-01 1.013210e+00
8.635068e+02 9.957686e-01 9.969220e-01 1.013038e+00
8.704187e+02 9.972739e-01 9.986293e-01 1.012861e+00
8.773306e+02 9.954305e-01 9.968042e-01 1.012680e+00
8.842426e+02 9.934559e-01 9.948023e-01 1.012495e+00
8.911545e+02 9.980887e-01 9.995827e-01 1.012304e+00
8.980664e+02 9.963690e-01 9.984666e-01 1.012107e+00
9.049783e+02 9.942350e-01 9.962772e-01 1.011905e+00
9.118902e+02 9.921796e-01 9.943614e-01 1.011696e+00
9.188021e+02 9.965397e-01 9.988105e-01 1.011480e+00
9.257141e+02 9.928771e-01 9.953594e-01 1.011256e+00
9.326260e+02 9.944624e-01 9.969621e-01 1.011024e+00
9.395379e+02 9.926226e-01 9.953140e-01 1.010783e+00
9.464498e+02 9.939000e-01 9.967465e-01 1.010531e+00
9.533617e+02 9.965190e-01 9.998442e-01 1.010268e+00
9.602737e+02 9.924291e-01 9.956435e-01 1.009992e+00
9.671856e+02 9.930559e-01 9.963399e-01 1.009701e+00
9.740975e+02 9.932528e-01 9.970567e-01 1.009393e+00
9.810094e+02 9.862803e-01 9.905068e-01 1.009066e+00
9.879213e+02 9.962202e-01 1.000779e+00 1.008715e+00
9.948333e+02 9.911515e-01 9.955602e-01 1.008336e+00
1.001745e+03 9.950548e-01 1.000526e+00 1.007922e+00
1.008657e+03 9.926296e-01 9.974657e-01 1.007466e+00
1.015569e+03 9.939891e-01 1.000191e+00 1.006953e+00
1.022481e+03 9.844109e-01 9.911803e-01 1.006365e+00
1.029393e+03 9.851906e-01 9.919458e-01 1.005667e+00
1.036305e+03 9.690980e-01 9.765704e-01 1.004799e+00
1.043217e+03 9.726365e-01 9.822332e-01 1.003622e+00
1.050129e+03 1.001753e+00 1.014023e+00 1.001699e+00
