# Er_bin_center  residual
0.000000e+00 9.730644e-01
1.043229e-04 9.727802e-01
2.086457e-04 9.723710e-01
3.129686e-04 9.747406e-01
4.172915e-04 9.779182e-01
5.216144e-04 9.803932e-01
6.259372e-04 9.805878e-01
7.302601e-04 9.823836e-01
8.345830e-04 9.863883e-01
9.389058e-04 9.908687e-01
1.043229e-03 9.950924e-01
1.147552e-03 9.992456e-01
1.251874e-03 1.006967e+00
1.356197e-03 1.014601e+00
1.460520e-03 1.028158e+00
1.564843e-03 1.046600e+00
1.669166e-03 1.052074e+00
1.773489e-03 1.051897e+00
1.877812e-03 1.045791e+00
1.982135e-03 1.023579e+00
2.086457e-03 1.010139e+00
2.190780e-03 9.997404e-01
2.295103e-03 9.919314e-01
2.399426e-03 9.868280e-01
2.503749e-03 9.802164e-01
2.608072e-03 9.748192e-01
2.712395e-03 9.723142e-01
2.816718e-03 9.691229e-01
2.921040e-03 9.659194e-01
3.025363e-03 9.626071e-01
3.129686e-03 9.608897e-01
3.234009e-03 9.589405e-01
3.338332e-03 9.553122e-01
3.442655e-03 9.550381e-01
3.546978e-03 9.521290e-01
3.651300e-03 9.508565e-01
3.755623e-03 9.454529e-01
3.859946e-03 9.471166e-01
3.964269e-03 9.416162e-01
4.068592e-03 9.416500e-01
4.172915e-03 9.382045e-01
4.277238e-03 9.354509e-01
4.381561e-03 9.344207e-01
4.485883e-03 9.269282e-01
4.590206e-03 9.236430e-01
4.694529e-03 9.170159e-01
4.798852e-03 9.074569e-01
4.903175e-03 9.032640e-01
5.007498e-03 8.897135e-01
