# Er_bin_center  hist_tree  hist_soft  hist_hard
0.000000e+00 4.258000e+05 4.185190e+05 1.816000e+03
1.043229e-04 7.852200e+05 7.735210e+05 3.529000e+03
2.086457e-04 1.025689e+06 1.010632e+06 4.546000e+03
3.129686e-04 1.227090e+06 1.210453e+06 5.527000e+03
4.172915e-04 1.400970e+06 1.389444e+06 6.184000e+03
5.216144e-04 1.568637e+06 1.551510e+06 6.659000e+03
6.259372e-04 1.721638e+06 1.710274e+06 7.506000e+03
7.302601e-04 1.868696e+06 1.859596e+06 7.877000e+03
8.345830e-04 2.013343e+06 2.007008e+06 8.711000e+03
9.389058e-04 2.145160e+06 2.149589e+06 9.313000e+03
1.043229e-03 2.280342e+06 2.293527e+06 9.669000e+03
1.147552e-03 2.413807e+06 2.441403e+06 1.024100e+04
1.251874e-03 2.547082e+06 2.589022e+06 1.044000e+04
1.356197e-03 2.673304e+06 2.746939e+06 1.118400e+04
1.460520e-03 2.807211e+06 2.918336e+06 1.151400e+04
1.564843e-03 2.935548e+06 3.104288e+06 1.216200e+04
1.669166e-03 3.005107e+06 3.190747e+06 1.241400e+04
1.773489e-03 3.053130e+06 3.242687e+06 1.308100e+04
1.877812e-03 3.090908e+06 3.264661e+06 1.349000e+04
1.982135e-03 3.065712e+06 3.170616e+06 1.370200e+04
2.086457e-03 3.028713e+06 3.091279e+06 1.403600e+04
2.190780e-03 2.994706e+06 3.021754e+06 1.448600e+04
2.295103e-03 2.953880e+06 2.963581e+06 1.476700e+04
2.399426e-03 2.914475e+06 2.904259e+06 1.559600e+04
2.503749e-03 2.876697e+06 2.851170e+06 1.553100e+04
2.608072e-03 2.831153e+06 2.794219e+06 1.565000e+04
2.712395e-03 2.786589e+06 2.737021e+06 1.590600e+04
2.816718e-03 2.737252e+06 2.677051e+06 1.608100e+04
2.921040e-03 2.685892e+06 2.618940e+06 1.630000e+04
3.025363e-03 2.629538e+06 2.561164e+06 1.701500e+04
3.129686e-03 2.565915e+06 2.491690e+06 1.658100e+04
3.234009e-03 2.504851e+06 2.423564e+06 1.695500e+04
3.338332e-03 2.432317e+06 2.349464e+06 1.664000e+04
3.442655e-03 2.360281e+06 2.269758e+06 1.670700e+04
3.546978e-03 2.273999e+06 2.188846e+06 1.688000e+04
3.651300e-03 2.186590e+06 2.096182e+06 1.651600e+04
3.755623e-03 2.091604e+06 1.999105e+06 1.615000e+04
3.859946e-03 1.982367e+06 1.893496e+06 1.588200e+04
3.964269e-03 1.867879e+06 1.775575e+06 1.531800e+04
4.068592e-03 1.737743e+06 1.650010e+06 1.462400e+04
4.172915e-03 1.597639e+06 1.512768e+06 1.372400e+04
4.277238e-03 1.438945e+06 1.358395e+06 1.298900e+04
4.381561e-03 1.264833e+06 1.189743e+06 1.162900e+04
4.485883e-03 1.072938e+06 1.005839e+06 1.022700e+04
4.590206e-03 8.643370e+05 8.052440e+05 8.509000e+03
4.694529e-03 6.385270e+05 5.907920e+05 6.371000e+03
4.798852e-03 4.049870e+05 3.712170e+05 4.236000e+03
4.903175e-03 1.875060e+05 1.685630e+05 1.942000e+03
5.007498e-03 3.345300e+04 2.936600e+04 3.600000e+02
