# E2_bin_center  hist_tree  hist_soft  hist_hard  hist_hard_sum
5.109989e+02 1.474940e+05 1.481240e+05 5.900000e+01 6.000000e+00
5.211108e+02 1.479410e+05 1.481110e+05 9.200000e+01 3.000000e+01
5.312227e+02 1.445590e+05 1.444300e+05 1.560000e+02 5.700000e+01
5.413346e+02 1.421100e+05 1.430890e+05 1.700000e+02 9.500000e+01
5.514465e+02 1.410580e+05 1.409130e+05 2.220000e+02 1.220000e+02
5.615584e+02 1.398530e+05 1.401670e+05 2.640000e+02 1.660000e+02
5.716702e+02 1.389110e+05 1.389450e+05 3.090000e+02 1.910000e+02
5.817821e+02 1.385320e+05 1.385050e+05 3.170000e+02 2.290000e+02
5.918940e+02 1.377670e+05 1.377650e+05 3.790000e+02 2.740000e+02
6.020059e+02 1.369580e+05 1.368560e+05 4.050000e+02 3.210000e+02
6.121178e+02 1.357890e+05 1.362710e+05 5.100000e+02 3.800000e+02
6.222296e+02 1.358150e+05 1.357650e+05 4.880000e+02 4.060000e+02
6.323415e+02 1.344820e+05 1.346790e+05 5.520000e+02 4.440000e+02
6.424534e+02 1.345590e+05 1.339670e+05 5.860000e+02 4.970000e+02
6.525653e+02 1.333530e+05 1.330270e+05 5.830000e+02 5.110000e+02
6.626772e+02 1.322790e+05 1.316240e+05 6.570000e+02 5.360000e+02
6.727890e+02 1.312730e+05 1.305430e+05 6.310000e+02 5.460000e+02
6.829009e+02 1.297810e+05 1.289570e+05 6.720000e+02 6.010000e+02
6.930128e+02 1.278280e+05 1.274500e+05 7.320000e+02 6.730000e+02
7.031247e+02 1.266120e+05 1.265080e+05 7.620000e+02 6.880000e+02
7.132366e+02 1.258460e+05 1.250660e+05 7.410000e+02 6.680000e+02
7.233484e+02 1.241140e+05 1.225170e+05 8.040000e+02 7.790000e+02
7.334603e+02 1.211710e+05 1.204170e+05 7.890000e+02 7.520000e+02
7.435722e+02 1.192050e+05 1.190190e+05 8.640000e+02 8.200000e+02
7.536841e+02 1.173490e+05 1.166780e+05 8.640000e+02 8.340000e+02
7.637960e+02 1.151650e+05 1.133430e+05 9.010000e+02 9.170000e+02
7.739079e+02 1.121050e+05 1.111760e+05 8.440000e+02 8.680000e+02
7.840197e+02 1.096000e+05 1.080130e+05 7.980000e+02 8.460000e+02
7.941316e+02 1.061720e+05 1.049550e+05 8.440000e+02 8.570000e+02
8.042435e+02 1.024710e+05 1.013790e+05 8.390000e+02 9.040000e+02
8.143554e+02 9.939400e+04 9.851800e+04 8.830000e+02 8.940000e+02
8.244673e+02 9.604900e+04 9.452300e+04 8.550000e+02 9.430000e+02
8.345791e+02 9.202400e+04 9.087200e+04 8.270000e+02 8.820000e+02
8.446910e+02 8.731000e+04 8.626200e+04 7.940000e+02 8.770000e+02
8.548029e+02 8.317100e+04 8.168900e+04 7.700000e+02 9.230000e+02
8.649148e+02 7.846800e+04 7.740800e+04 7.400000e+02 8.260000e+02
8.750267e+02 7.379300e+04 7.256100e+04 7.160000e+02 8.030000e+02
8.851385e+02 6.865600e+04 6.742300e+04 7.150000e+02 7.770000e+02
8.952504e+02 6.368800e+04 6.300500e+04 6.200000e+02 6.960000e+02
9.053623e+02 5.829600e+04 5.740800e+04 6.290000e+02 7.630000e+02
9.154742e+02 5.266900e+04 5.222700e+04 5.740000e+02 6.700000e+02
9.255861e+02 4.789500e+04 4.664300e+04 5.790000e+02 6.760000e+02
9.356980e+02 4.235000e+04 4.151000e+04 4.850000e+02 6.180000e+02
9.458098e+02 3.695600e+04 3.640900e+04 4.420000e+02 5.290000e+02
9.559217e+02 3.159800e+04 3.140700e+04 3.680000e+02 5.020000e+02
9.660336e+02 2.677500e+04 2.641200e+04 3.170000e+02 4.110000e+02
9.761455e+02 2.156900e+04 2.140500e+04 2.720000e+02 3.460000e+02
9.862574e+02 1.707400e+04 1.679600e+04 2.340000e+02 2.960000e+02
9.963692e+02 1.286400e+04 1.263200e+04 1.650000e+02 2.400000e+02
1.006481e+03 9.048000e+03 8.857000e+03 1.120000e+02 1.590000e+02
1.016593e+03 5.742000e+03 5.445000e+03 8.400000e+01 1.270000e+02
1.026705e+03 3.138000e+03 2.952000e+03 4.200000e+01 7.000000e+01
1.036817e+03 1.142000e+03 1.142000e+03 1.700000e+01 2.600000e+01
1.046929e+03 1.790000e+02 1.560000e+02 5.000000e+00 7.000000e+00
