# E2_bin_center  ratio_distinguishable  ratio_indistinguishable  sirlin
5.109989e+02 1.004671e+00 1.004312e+00 nan
5.211108e+02 1.001771e+00 1.001352e+00 1.018491e+00
5.312227e+02 1.000187e+00 9.995019e-01 1.018404e+00
5.413346e+02 1.008085e+00 1.007558e+00 1.018313e+00
5.514465e+02 1.000546e+00 9.998369e-01 1.018217e+00
5.615584e+02 1.004133e+00 1.003432e+00 1.018116e+00
5.716702e+02 1.002469e+00 1.001620e+00 1.018010e+00
5.817821e+02 1.002093e+00 1.001458e+00 1.017900e+00
5.918940e+02 1.002737e+00 1.001974e+00 1.017785e+00
6.020059e+02 1.002212e+00 1.001599e+00 1.017666e+00
6.121178e+02 1.007305e+00 1.006348e+00 1.017543e+00
6.222296e+02 1.003225e+00 1.002621e+00 1.017416e+00
6.323415e+02 1.005570e+00 1.004766e+00 1.017285e+00
6.424534e+02 9.999554e-01 9.992940e-01 1.017149e+00
6.525653e+02 1.001927e+00 1.001387e+00 1.017010e+00
6.626772e+02 1.000015e+00 9.991004e-01 1.016866e+00
6.727890e+02 9.992458e-01 9.985983e-01 1.016718e+00
6.829009e+02 9.988288e-01 9.982817e-01 1.016567e+00
6.930128e+02 1.002769e+00 1.002308e+00 1.016411e+00
7.031247e+02 1.005197e+00 1.004613e+00 1.016251e+00
7.132366e+02 9.996901e-01 9.991100e-01 1.016086e+00
7.233484e+02 9.936107e-01 9.934093e-01 1.015918e+00
7.334603e+02 1.000289e+00 9.999835e-01 1.015745e+00
7.435722e+02 1.005688e+00 1.005319e+00 1.015567e+00
7.536841e+02 1.001645e+00 1.001389e+00 1.015385e+00
7.637960e+02 9.920028e-01 9.921417e-01 1.015197e+00
7.739079e+02 9.992418e-01 9.994559e-01 1.015005e+00
7.840197e+02 9.928011e-01 9.932391e-01 1.014808e+00
7.941316e+02 9.964868e-01 9.966093e-01 1.014605e+00
8.042435e+02 9.975310e-01 9.981653e-01 1.014396e+00
8.143554e+02 1.000070e+00 1.000181e+00 1.014181e+00
8.244673e+02 9.930140e-01 9.939302e-01 1.013960e+00
8.345791e+02 9.964683e-01 9.970660e-01 1.013732e+00
8.446910e+02 9.970908e-01 9.980415e-01 1.013497e+00
8.548029e+02 9.914393e-01 9.932789e-01 1.013254e+00
8.649148e+02 9.959219e-01 9.970179e-01 1.013002e+00
8.750267e+02 9.930075e-01 9.941864e-01 1.012741e+00
8.851385e+02 9.924551e-01 9.933582e-01 1.012470e+00
8.952504e+02 9.990108e-01 1.000204e+00 1.012188e+00
9.053623e+02 9.955572e-01 9.978558e-01 1.011893e+00
9.154742e+02 1.002506e+00 1.004329e+00 1.011585e+00
9.255861e+02 9.859484e-01 9.879737e-01 1.011261e+00
9.356980e+02 9.916175e-01 9.947580e-01 1.010918e+00
9.458098e+02 9.971588e-01 9.995129e-01 1.010555e+00
9.559217e+02 1.005602e+00 1.009842e+00 1.010168e+00
9.660336e+02 9.982820e-01 1.001793e+00 1.009751e+00
9.761455e+02 1.005007e+00 1.008438e+00 1.009299e+00
9.862574e+02 9.974230e-01 1.001054e+00 1.008802e+00
9.963692e+02 9.947917e-01 1.000622e+00 1.008247e+00
1.006481e+03 9.912688e-01 9.964633e-01 1.007615e+00
1.016593e+03 9.629049e-01 9.703936e-01 1.006871e+00
1.026705e+03 9.541109e-01 9.630338e-01 1.005954e+00
1.036817e+03 1.014886e+00 1.022767e+00 1.004725e+00
1.046929e+03 8.994413e-01 9.106145e-01 1.002744e+00
