# Er_bin_center  residual
0.000000e+00 9.745575e-01
1.043229e-04 9.828214e-01
2.086457e-04 9.762997e-01
3.129686e-04 9.898176e-01
4.172915e-04 9.893417e-01
5.216144e-04 9.891305e-01
6.259372e-04 9.907356e-01
7.302601e-04 9.884375e-01
8.345830e-04 9.814754e-01
9.389058e-04 9.872995e-01
1.043229e-03 9.833221e-01
1.147552e-03 9.857566e-01
1.251874e-03 9.895081e-01
1.356197e-03 9.889745e-01
1.460520e-03 9.896379e-01
1.564843e-03 9.792119e-01
1.669166e-03 9.839426e-01
1.773489e-03 9.843336e-01
1.877812e-03 9.839760e-01
1.982135e-03 9.893356e-01
2.086457e-03 9.832837e-01
2.190780e-03 9.787922e-01
2.295103e-03 9.824371e-01
2.399426e-03 9.873121e-01
2.503749e-03 9.917066e-01
2.608072e-03 9.876059e-01
2.712395e-03 9.816620e-01
2.816718e-03 9.861042e-01
2.921040e-03 9.915798e-01
3.025363e-03 9.834133e-01
3.129686e-03 9.799416e-01
3.234009e-03 9.820332e-01
3.338332e-03 9.812986e-01
3.442655e-03 9.863213e-01
3.546978e-03 9.788269e-01
3.651300e-03 9.823673e-01
3.755623e-03 9.896603e-01
3.859946e-03 9.792949e-01
3.964269e-03 9.803891e-01
4.068592e-03 9.721368e-01
4.172915e-03 9.826987e-01
4.277238e-03 9.746305e-01
4.381561e-03 9.760976e-01
4.485883e-03 9.833652e-01
4.590206e-03 9.718073e-01
4.694529e-03 9.827426e-01
4.798852e-03 9.906275e-01
4.903175e-03 9.597239e-01
5.007498e-03 9.102229e-01
