# Er_bin_center  hist_tree  hist_soft  hist_hard
0.000000e+00 2.138800e+04 2.109100e+04 9.100000e+01
1.043229e-04 3.948300e+04 3.924600e+04 1.830000e+02
2.086457e-04 5.158800e+04 5.096000e+04 2.210000e+02
3.129686e-04 6.111800e+04 6.119200e+04 2.700000e+02
4.172915e-04 7.045000e+04 7.052100e+04 2.920000e+02
5.216144e-04 7.852000e+04 7.856400e+04 3.440000e+02
6.259372e-04 8.615300e+04 8.632500e+04 3.920000e+02
7.302601e-04 9.297500e+04 9.295200e+04 4.180000e+02
8.345830e-04 1.009700e+05 1.003080e+05 3.880000e+02
9.389058e-04 1.073820e+05 1.072860e+05 4.300000e+02
1.043229e-03 1.141820e+05 1.135790e+05 5.040000e+02
1.147552e-03 1.205710e+05 1.202800e+05 4.800000e+02
1.251874e-03 1.274670e+05 1.276070e+05 5.380000e+02
1.356197e-03 1.337410e+05 1.338350e+05 5.460000e+02
1.460520e-03 1.400320e+05 1.402280e+05 5.670000e+02
1.564843e-03 1.474730e+05 1.461360e+05 6.030000e+02
1.669166e-03 1.500950e+05 1.494430e+05 6.150000e+02
1.773489e-03 1.522300e+05 1.516700e+05 5.820000e+02
1.877812e-03 1.548420e+05 1.541720e+05 6.370000e+02
1.982135e-03 1.531140e+05 1.532200e+05 6.820000e+02
2.086457e-03 1.513230e+05 1.505220e+05 6.640000e+02
2.190780e-03 1.500870e+05 1.485950e+05 6.820000e+02
2.295103e-03 1.478340e+05 1.468420e+05 7.330000e+02
2.399426e-03 1.453710e+05 1.450470e+05 7.780000e+02
2.503749e-03 1.433980e+05 1.437490e+05 7.270000e+02
2.608072e-03 1.407740e+05 1.404660e+05 7.890000e+02
2.712395e-03 1.392920e+05 1.381310e+05 8.090000e+02
2.816718e-03 1.368070e+05 1.362920e+05 7.770000e+02
2.921040e-03 1.336810e+05 1.338240e+05 8.450000e+02
3.025363e-03 1.314730e+05 1.306090e+05 7.620000e+02
3.129686e-03 1.290160e+05 1.276110e+05 8.570000e+02
3.234009e-03 1.252360e+05 1.241140e+05 8.520000e+02
3.338332e-03 1.214330e+05 1.202440e+05 8.380000e+02
3.442655e-03 1.177160e+05 1.171060e+05 8.610000e+02
3.546978e-03 1.139450e+05 1.124920e+05 8.420000e+02
3.651300e-03 1.092330e+05 1.082180e+05 8.160000e+02
3.755623e-03 1.043640e+05 1.041740e+05 7.610000e+02
3.859946e-03 9.950600e+04 9.822800e+04 7.910000e+02
3.964269e-03 9.342100e+04 9.229800e+04 7.680000e+02
4.068592e-03 8.720300e+04 8.541200e+04 7.400000e+02
4.172915e-03 7.984400e+04 7.897600e+04 7.490000e+02
4.277238e-03 7.176800e+04 7.042100e+04 6.610000e+02
4.381561e-03 6.364700e+04 6.253300e+04 5.990000e+02
4.485883e-03 5.340800e+04 5.286100e+04 5.030000e+02
4.590206e-03 4.345100e+04 4.246100e+04 4.520000e+02
4.694529e-03 3.180000e+04 3.143100e+04 3.230000e+02
4.798852e-03 2.003600e+04 1.995600e+04 2.090000e+02
4.903175e-03 9.442000e+03 9.121000e+03 9.000000e+01
5.007498e-03 1.717000e+03 1.572000e+03 1.800000e+01
