# E2_bin_center  hist_tree  hist_soft  hist_hard  hist_hard_sum
5.109989e+02 1.022812e+06 1.029347e+06 4.244000e+03 1.110000e+02
5.398034e+02 1.056938e+06 1.062092e+06 5.276000e+03 5.230000e+02
5.686079e+02 1.109655e+06 1.115162e+06 6.288000e+03 1.137000e+03
5.974124e+02 1.169875e+06 1.173132e+06 7.539000e+03 2.006000e+03
6.262169e+02 1.228777e+06 1.232413e+06 8.711000e+03 2.755000e+03
6.550214e+02 1.283433e+06 1.285511e+06 1.010300e+04 3.826000e+03
6.838259e+02 1.342911e+06 1.341407e+06 1.134400e+04 4.820000e+03
7.126304e+02 1.391335e+06 1.392463e+06 1.286300e+04 6.023000e+03
7.414349e+02 1.443058e+06 1.437322e+06 1.421200e+04 7.131000e+03
7.702394e+02 1.484547e+06 1.480626e+06 1.570800e+04 8.293000e+03
7.990438e+02 1.525936e+06 1.521216e+06 1.711200e+04 9.820000e+03
8.278483e+02 1.567058e+06 1.559745e+06 1.843200e+04 1.117700e+04
8.566528e+02 1.599654e+06 1.591965e+06 1.967900e+04 1.250500e+04
8.854573e+02 1.632755e+06 1.621966e+06 2.105900e+04 1.407700e+04
9.142618e+02 1.660998e+06 1.649720e+06 2.241400e+04 1.522900e+04
9.430663e+02 1.686736e+06 1.673363e+06 2.397000e+04 1.679700e+04
9.718708e+02 1.711030e+06 1.693614e+06 2.489000e+04 1.812600e+04
1.000675e+03 1.731095e+06 1.715081e+06 2.596200e+04 1.945800e+04
1.029480e+03 1.749395e+06 1.733451e+06 2.722900e+04 2.106600e+04
1.058284e+03 1.765414e+06 1.744901e+06 2.800100e+04 2.246900e+04
1.087089e+03 1.778358e+06 1.755959e+06 2.934700e+04 2.386800e+04
1.115893e+03 1.787560e+06 1.767864e+06 3.040000e+04 2.504300e+04
1.144698e+03 1.796633e+06 1.773241e+06 3.127200e+04 2.638300e+04
1.173502e+03 1.802224e+06 1.778651e+06 3.246800e+04 2.768100e+04
1.202307e+03 1.808289e+06 1.783964e+06 3.330900e+04 2.913000e+04
1.231111e+03 1.812734e+06 1.786239e+06 3.419100e+04 3.030500e+04
1.259916e+03 1.812326e+06 1.783439e+06 3.525500e+04 3.194500e+04
1.288720e+03 1.815660e+06 1.782283e+06 3.571800e+04 3.260700e+04
1.317525e+03 1.815029e+06 1.778775e+06 3.621000e+04 3.378900e+04
1.346329e+03 1.810826e+06 1.776727e+06 3.697600e+04 3.512500e+04
1.375134e+03 1.806299e+06 1.770774e+06 3.764100e+04 3.591000e+04
1.403938e+03 1.797809e+06 1.762071e+06 3.840000e+04 3.722500e+04
1.432743e+03 1.791070e+06 1.756729e+06 3.906900e+04 3.774800e+04
1.461547e+03 1.782676e+06 1.747469e+06 3.969400e+04 3.909800e+04
1.490352e+03 1.775253e+06 1.733100e+06 3.990700e+04 3.975300e+04
1.519156e+03 1.762977e+06 1.719226e+06 4.049900e+04 4.054500e+04
1.547961e+03 1.749086e+06 1.709677e+06 4.086700e+04 4.146200e+04
1.576765e+03 1.736767e+06 1.691710e+06 4.101800e+04 4.191500e+04
1.605570e+03 1.720709e+06 1.675051e+06 4.159800e+04 4.299000e+04
1.634374e+03 1.702204e+06 1.658580e+06 4.145000e+04 4.308300e+04
1.663179e+03 1.684587e+06 1.637766e+06 4.156700e+04 4.389500e+04
1.691983e+03 1.662119e+06 1.618837e+06 4.145800e+04 4.352300e+04
1.720788e+03 1.642441e+06 1.596927e+06 4.163800e+04 4.468100e+04
1.749592e+03 1.619131e+06 1.571675e+06 4.137200e+04 4.498700e+04
1.778396e+03 1.593766e+06 1.546009e+06 4.173800e+04 4.484200e+04
1.807201e+03 1.565424e+06 1.519108e+06 4.112500e+04 4.515500e+04
1.836005e+03 1.538417e+06 1.488721e+06 4.074000e+04 4.500000e+04
1.864810e+03 1.508648e+06 1.458149e+06 4.050200e+04 4.493900e+04
1.893614e+03 1.472655e+06 1.427325e+06 3.971600e+04 4.434100e+04
1.922419e+03 1.437349e+06 1.390696e+06 4.017400e+04 4.477700e+04
1.951223e+03 1.401674e+06 1.351932e+06 3.912200e+04 4.455800e+04
1.980028e+03 1.362325e+06 1.315776e+06 3.874900e+04 4.382600e+04
2.008832e+03 1.321908e+06 1.273710e+06 3.730000e+04 4.333200e+04
2.037637e+03 1.274861e+06 1.229384e+06 3.713700e+04 4.295300e+04
2.066441e+03 1.233604e+06 1.184969e+06 3.592400e+04 4.157400e+04
2.095246e+03 1.184533e+06 1.137810e+06 3.462900e+04 4.101200e+04
2.124050e+03 1.134727e+06 1.089820e+06 3.385700e+04 3.987600e+04
2.152855e+03 1.080877e+06 1.039612e+06 3.261900e+04 3.901600e+04
2.181659e+03 1.027796e+06 9.860730e+05 3.076000e+04 3.765800e+04
2.210464e+03 9.713910e+05 9.314410e+05 2.959100e+04 3.577300e+04
2.239268e+03 9.132400e+05 8.772160e+05 2.812500e+04 3.461200e+04
2.268073e+03 8.539630e+05 8.167760e+05 2.653500e+04 3.268000e+04
2.296877e+03 7.931890e+05 7.574170e+05 2.487400e+04 3.093400e+04
2.325682e+03 7.324420e+05 6.986820e+05 2.315300e+04 2.925500e+04
2.354486e+03 6.682640e+05 6.384480e+05 2.130400e+04 2.707700e+04
2.383291e+03 6.066460e+05 5.780090e+05 1.959600e+04 2.503600e+04
2.412095e+03 5.433160e+05 5.161720e+05 1.756600e+04 2.302200e+04
