# E2_bin_center  ratio_distinguishable  ratio_indistinguishable  sirlin
5.109989e+02 1.010539e+00 1.006498e+00 nan
5.398034e+02 1.009868e+00 1.005371e+00 1.022057e+00
5.686079e+02 1.010629e+00 1.005987e+00 1.021903e+00
5.974124e+02 1.009228e+00 1.004499e+00 1.021733e+00
6.262169e+02 1.010048e+00 1.005201e+00 1.021548e+00
6.550214e+02 1.009491e+00 1.004600e+00 1.021351e+00
6.838259e+02 1.007327e+00 1.002469e+00 1.021142e+00
7.126304e+02 1.010056e+00 1.005140e+00 1.020922e+00
7.414349e+02 1.005874e+00 1.000967e+00 1.020694e+00
7.702394e+02 1.007940e+00 1.002945e+00 1.020458e+00
7.990438e+02 1.008121e+00 1.003342e+00 1.020214e+00
8.278483e+02 1.007095e+00 1.002466e+00 1.019964e+00
8.566528e+02 1.007495e+00 1.003011e+00 1.019707e+00
8.854573e+02 1.006290e+00 1.002014e+00 1.019444e+00
9.142618e+02 1.006704e+00 1.002379e+00 1.019177e+00
9.430663e+02 1.006283e+00 1.002030e+00 1.018904e+00
9.718708e+02 1.004368e+00 1.000415e+00 1.018627e+00
1.000675e+03 1.005747e+00 1.001989e+00 1.018345e+00
1.029480e+03 1.006451e+00 1.002928e+00 1.018059e+00
1.058284e+03 1.004241e+00 1.001108e+00 1.017769e+00
1.087089e+03 1.003907e+00 1.000826e+00 1.017475e+00
1.115893e+03 1.005988e+00 1.002991e+00 1.017178e+00
1.144698e+03 1.004386e+00 1.001665e+00 1.016877e+00
1.173502e+03 1.004936e+00 1.002279e+00 1.016572e+00
1.202307e+03 1.004968e+00 1.002657e+00 1.016264e+00
1.231111e+03 1.004246e+00 1.002102e+00 1.015953e+00
1.259916e+03 1.003514e+00 1.001687e+00 1.015638e+00
1.288720e+03 1.001289e+00 9.995759e-01 1.015320e+00
1.317525e+03 9.999758e-01 9.986419e-01 1.014998e+00
1.346329e+03 1.001589e+00 1.000567e+00 1.014673e+00
1.375134e+03 1.001171e+00 1.000213e+00 1.014344e+00
1.403938e+03 1.001481e+00 1.000827e+00 1.014012e+00
1.432743e+03 1.002640e+00 1.001902e+00 1.013676e+00
1.461547e+03 1.002517e+00 1.002183e+00 1.013337e+00
1.490352e+03 9.987348e-01 9.986481e-01 1.012994e+00
1.519156e+03 9.981554e-01 9.981815e-01 1.012647e+00
1.547961e+03 1.000834e+00 1.001174e+00 1.012296e+00
1.576765e+03 9.976744e-01 9.981909e-01 1.011941e+00
1.605570e+03 9.976405e-01 9.984495e-01 1.011582e+00
1.634374e+03 9.987228e-01 9.996822e-01 1.011218e+00
1.663179e+03 9.968811e-01 9.982631e-01 1.010849e+00
1.691983e+03 9.989026e-01 1.000145e+00 1.010476e+00
1.720788e+03 9.976401e-01 9.994928e-01 1.010097e+00
1.749592e+03 9.962424e-01 9.984751e-01 1.009713e+00
1.778396e+03 9.962234e-01 9.981710e-01 1.009324e+00
1.807201e+03 9.966840e-01 9.992583e-01 1.008929e+00
1.836005e+03 9.941784e-01 9.969475e-01 1.008527e+00
1.864810e+03 9.933735e-01 9.963146e-01 1.008119e+00
1.893614e+03 9.961878e-01 9.993284e-01 1.007703e+00
1.922419e+03 9.954924e-01 9.986948e-01 1.007280e+00
1.951223e+03 9.924233e-01 9.963016e-01 1.006849e+00
1.980028e+03 9.942745e-01 9.980012e-01 1.006410e+00
2.008832e+03 9.917559e-01 9.963190e-01 1.005961e+00
2.037637e+03 9.934581e-01 9.980202e-01 1.005503e+00
2.066441e+03 9.896960e-01 9.942761e-01 1.005034e+00
2.095246e+03 9.897901e-01 9.951787e-01 1.004553e+00
2.124050e+03 9.902620e-01 9.955663e-01 1.004060e+00
2.152855e+03 9.920009e-01 9.979193e-01 1.003554e+00
2.181659e+03 9.893335e-01 9.960449e-01 1.003033e+00
2.210464e+03 9.893359e-01 9.957000e-01 1.002496e+00
2.239268e+03 9.913506e-01 9.984539e-01 1.001940e+00
2.268073e+03 9.875264e-01 9.947223e-01 1.001366e+00
2.296877e+03 9.862605e-01 9.939006e-01 1.000769e+00
2.325682e+03 9.855183e-01 9.938493e-01 1.000148e+00
2.354486e+03 9.872625e-01 9.959013e-01 9.994991e-01
2.383291e+03 9.850967e-01 9.940641e-01 9.988190e-01
2.412095e+03 9.823712e-01 9.924133e-01 9.981029e-01
2.440900e+03 9.798590e-01 9.907160e-01 9.973453e-01
2.469704e+03 9.824735e-01 9.933192e-01 9.965391e-01
2.498509e+03 9.820047e-01 9.937685e-01 9.956751e-01
2.527313e+03 9.793011e-01 9.917091e-01 9.947413e-01
2.556118e+03 9.776997e-01 9.906028e-01 9.937217e-01
2.584922e+03 9.754382e-01 9.906943e-01 9.925936e-01
2.613727e+03 9.790613e-01 9.945564e-01 9.913241e-01
2.642531e+03 9.702554e-01 9.879116e-01 9.898623e-01
2.671336e+03 9.793593e-01 9.974378e-01 9.881230e-01
2.700140e+03 9.707968e-01 9.921926e-01 9.859474e-01
2.728945e+03 9.632977e-01 9.878438e-01 9.829796e-01
2.757749e+03 9.758230e-01 1.002058e+00 9.780890e-01
