# Er_bin_center  residual
0.000000e+00 9.896060e-01
9.142788e-04 9.890611e-01
1.828558e-03 9.883225e-01
2.742836e-03 9.884003e-01
3.657115e-03 9.908313e-01
4.571394e-03 9.890998e-01
5.485673e-03 9.905225e-01
6.399952e-03 9.882210e-01
7.314231e-03 9.867315e-01
8.228509e-03 9.908729e-01
9.142788e-03 9.865097e-01
1.005707e-02 9.903134e-01
1.097135e-02 9.886022e-01
1.188562e-02 9.892930e-01
1.279990e-02 9.889451e-01
1.371418e-02 9.896122e-01
1.462846e-02 9.885750e-01
1.554274e-02 9.885760e-01
1.645702e-02 9.889022e-01
1.737130e-02 9.881341e-01
1.828558e-02 9.890260e-01
1.919986e-02 9.900103e-01
2.011413e-02 9.892022e-01
2.102841e-02 9.888338e-01
2.194269e-02 9.888957e-01
2.285697e-02 9.884812e-01
2.377125e-02 9.889484e-01
2.468553e-02 9.879601e-01
2.559981e-02 9.892241e-01
2.651409e-02 9.870000e-01
2.742836e-02 9.888314e-01
2.834264e-02 9.874904e-01
2.925692e-02 9.876325e-01
3.017120e-02 9.885968e-01
3.108548e-02 9.890141e-01
3.199976e-02 9.879576e-01
3.291404e-02 9.890663e-01
3.382832e-02 9.887169e-01
3.474259e-02 9.877823e-01
3.565687e-02 9.860664e-01
3.657115e-02 9.866036e-01
3.748543e-02 9.845560e-01
3.839971e-02 9.839150e-01
3.931399e-02 9.847456e-01
4.022827e-02 9.827087e-01
4.114255e-02 9.799846e-01
4.205683e-02 9.775626e-01
4.297110e-02 9.736024e-01
4.388538e-02 9.629916e-01
