# Er_bin_center  hist_tree  hist_soft  hist_hard
0.000000e+00 2.793460e+05 2.737100e+05 6.289000e+03
9.142788e-04 5.126340e+05 5.019450e+05 1.160800e+04
1.828558e-03 6.678770e+05 6.537930e+05 1.478800e+04
2.742836e-03 7.968800e+05 7.797680e+05 1.801400e+04
3.657115e-03 9.093600e+05 8.920730e+05 2.052700e+04
4.571394e-03 1.012350e+06 9.920750e+05 2.212900e+04
5.485673e-03 1.107204e+06 1.086252e+06 2.455500e+04
6.399952e-03 1.197753e+06 1.172363e+06 2.653100e+04
7.314231e-03 1.285158e+06 1.256564e+06 2.790400e+04
8.228509e-03 1.363581e+06 1.338684e+06 2.981200e+04
9.142788e-03 1.445977e+06 1.413375e+06 3.150500e+04
1.005707e-02 1.519558e+06 1.491689e+06 3.249600e+04
1.097135e-02 1.593890e+06 1.561585e+06 3.443100e+04
1.188562e-02 1.664555e+06 1.632396e+06 3.552900e+04
1.279990e-02 1.738506e+06 1.704493e+06 3.692800e+04
1.371418e-02 1.806441e+06 1.772030e+06 3.864500e+04
1.462846e-02 1.873627e+06 1.836420e+06 3.965500e+04
1.554274e-02 1.941731e+06 1.903120e+06 4.115000e+04
1.645702e-02 2.008831e+06 1.969648e+06 4.246500e+04
1.737130e-02 2.074543e+06 2.033038e+06 4.330100e+04
1.828558e-02 2.135337e+06 2.094603e+06 4.448700e+04
1.919986e-02 2.200287e+06 2.160551e+06 4.576900e+04
2.011413e-02 2.261812e+06 2.218959e+06 4.722700e+04
2.102841e-02 2.324603e+06 2.280519e+06 4.772300e+04
2.194269e-02 2.390995e+06 2.346089e+06 4.879700e+04
2.285697e-02 2.456243e+06 2.409240e+06 4.998200e+04
2.377125e-02 2.516132e+06 2.469745e+06 5.061400e+04
2.468553e-02 2.583519e+06 2.533911e+06 5.139500e+04
2.559981e-02 2.644596e+06 2.597549e+06 5.221900e+04
2.651409e-02 2.712594e+06 2.658605e+06 5.326100e+04
2.742836e-02 2.775384e+06 2.725719e+06 5.400300e+04
2.834264e-02 2.847265e+06 2.792891e+06 5.500600e+04
2.925692e-02 2.919652e+06 2.865398e+06 5.531700e+04
3.017120e-02 2.978053e+06 2.926041e+06 5.596800e+04
3.108548e-02 3.005726e+06 2.954663e+06 5.631000e+04
3.199976e-02 2.997863e+06 2.942560e+06 5.736900e+04
3.291404e-02 2.979603e+06 2.927542e+06 5.741800e+04
3.382832e-02 2.963787e+06 2.909948e+06 5.813200e+04
3.474259e-02 2.939982e+06 2.883181e+06 5.831200e+04
3.565687e-02 2.910953e+06 2.848974e+06 5.848000e+04
3.657115e-02 2.866885e+06 2.806417e+06 5.856200e+04
3.748543e-02 2.813713e+06 2.748104e+06 5.797700e+04
3.839971e-02 2.737486e+06 2.670866e+06 5.744000e+04
3.931399e-02 2.630440e+06 2.567746e+06 5.605800e+04
4.022827e-02 2.479975e+06 2.414800e+06 5.386700e+04
4.114255e-02 2.265166e+06 2.198550e+06 5.011700e+04
4.205683e-02 1.941728e+06 1.878854e+06 4.402800e+04
4.297110e-02 1.418994e+06 1.366626e+06 3.297600e+04
4.388538e-02 5.014250e+05 4.774460e+05 1.180600e+04
