# E2_bin_center  hist_tree  hist_soft  hist_hard  hist_hard_sum
5.109989e+02 1.790300e+04 1.761300e+04 7.000000e+01 0.000000e+00
5.210234e+02 1.765100e+04 1.801700e+04 7.600000e+01 1.000000e+00
5.310479e+02 1.786400e+04 1.820200e+04 8.900000e+01 5.000000e+00
5.410724e+02 1.805300e+04 1.832800e+04 1.000000e+02 8.000000e+00
5.510968e+02 1.846400e+04 1.844600e+04 9.100000e+01 1.100000e+01
5.611213e+02 1.862800e+04 1.876100e+04 1.050000e+02 1.400000e+01
5.711458e+02 1.918000e+04 1.913700e+04 9.300000e+01 1.700000e+01
5.811702e+02 1.926400e+04 1.931500e+04 1.010000e+02 2.000000e+01
5.911947e+02 1.986300e+04 1.992100e+04 1.340000e+02 2.100000e+01
6.012192e+02 2.008500e+04 2.010500e+04 1.270000e+02 3.600000e+01
6.112436e+02 2.042800e+04 2.061800e+04 1.390000e+02 3.400000e+01
6.212681e+02 2.108800e+04 2.113300e+04 1.530000e+02 4.500000e+01
6.312926e+02 2.125800e+04 2.109500e+04 1.560000e+02 6.200000e+01
6.413171e+02 2.184300e+04 2.179200e+04 1.650000e+02 5.000000e+01
6.513415e+02 2.199400e+04 2.187400e+04 1.450000e+02 5.600000e+01
6.613660e+02 2.224800e+04 2.209700e+04 1.840000e+02 6.700000e+01
6.713905e+02 2.268100e+04 2.249000e+04 1.970000e+02 8.000000e+01
6.814149e+02 2.304500e+04 2.262800e+04 1.900000e+02 6.300000e+01
6.914394e+02 2.332100e+04 2.323900e+04 1.760000e+02 8.900000e+01
7.014639e+02 2.379100e+04 2.351800e+04 2.130000e+02 1.010000e+02
7.114883e+02 2.410500e+04 2.401600e+04 2.170000e+02 8.400000e+01
7.215128e+02 2.410100e+04 2.436000e+04 2.120000e+02 1.160000e+02
7.315373e+02 2.439100e+04 2.438700e+04 2.090000e+02 1.110000e+02
7.415618e+02 2.479700e+04 2.496900e+04 2.220000e+02 1.220000e+02
7.515862e+02 2.519900e+04 2.504400e+04 2.560000e+02 1.190000e+02
7.616107e+02 2.536100e+04 2.550300e+04 2.540000e+02 1.180000e+02
7.716352e+02 2.557400e+04 2.580000e+04 2.520000e+02 1.450000e+02
7.816596e+02 2.605800e+04 2.590800e+04 2.590000e+02 1.580000e+02
7.916841e+02 2.604300e+04 2.621900e+04 2.840000e+02 1.620000e+02
8.017086e+02 2.653700e+04 2.635100e+04 3.020000e+02 1.610000e+02
8.117330e+02 2.684700e+04 2.647100e+04 3.200000e+02 1.640000e+02
8.217575e+02 2.714400e+04 2.674800e+04 3.330000e+02 1.830000e+02
