# E2_bin_center  ratio_distinguishable  ratio_indistinguishable  sirlin
5.109989e+02 9.877116e-01 9.838016e-01 nan
5.210234e+02 1.025041e+00 1.020792e+00 1.022146e+00
5.310479e+02 1.023903e+00 1.019201e+00 1.022099e+00
5.410724e+02 1.020772e+00 1.015676e+00 1.022050e+00
5.510968e+02 1.003954e+00 9.996209e-01 1.021999e+00
5.611213e+02 1.012776e+00 1.007891e+00 1.021945e+00
5.711458e+02 1.002607e+00 9.986444e-01 1.021889e+00
5.811702e+02 1.007890e+00 1.003686e+00 1.021831e+00
5.911947e+02 1.009666e+00 1.003977e+00 1.021771e+00
6.012192e+02 1.007319e+00 1.002788e+00 1.021709e+00
6.112436e+02 1.016105e+00 1.010965e+00 1.021646e+00
6.212681e+02 1.009389e+00 1.004268e+00 1.021581e+00
6.312926e+02 9.996707e-01 9.952488e-01 1.021514e+00
6.413171e+02 1.005219e+00 9.999542e-01 1.021446e+00
6.513415e+02 1.001137e+00 9.970901e-01 1.021377e+00
6.613660e+02 1.001483e+00 9.962244e-01 1.021306e+00
6.713905e+02 1.000265e+00 9.951060e-01 1.021233e+00
6.814149e+02 9.901497e-01 9.846388e-01 1.021160e+00
6.914394e+02 1.004031e+00 1.000300e+00 1.021085e+00
7.014639e+02 9.974780e-01 9.927704e-01 1.021009e+00
7.114883e+02 1.005310e+00 9.997926e-01 1.020931e+00
7.215128e+02 1.019543e+00 1.015560e+00 1.020853e+00
7.315373e+02 1.008405e+00 1.004387e+00 1.020774e+00
7.415618e+02 1.015889e+00 1.011856e+00 1.020693e+00
7.515862e+02 1.004008e+00 9.985714e-01 1.020612e+00
7.616107e+02 1.015615e+00 1.010252e+00 1.020530e+00
7.716352e+02 1.018691e+00 1.014507e+00 1.020446e+00
7.816596e+02 1.004183e+00 1.000307e+00 1.020362e+00
7.916841e+02 1.017663e+00 1.012979e+00 1.020277e+00
8.017086e+02 1.004371e+00 9.990579e-01 1.020191e+00
8.117330e+02 9.979141e-01 9.921034e-01 1.020105e+00
8.217575e+02 9.976790e-01 9.921530e-01 1.020017e+00
8.317820e+02 1.018003e+00 1.013190e+00 1.019929e+00
8.418065e+02 1.010402e+00 1.005274e+00 1.019840e+00
8.518309e+02 1.005496e+00 1.002820e+00 1.019750e+00
8.618554e+02 1.012731e+00 1.007544e+00 1.019660e+00
8.718799e+02 9.968244e-01 9.925902e-01 1.019569e+00
8.819043e+02 9.905660e-01 9.862201e-01 1.019477e+00
8.919288e+02 1.001014e+00 9.965377e-01 1.019385e+00
9.019533e+02 1.015161e+00 1.011608e+00 1.019292e+00
9.119777e+02 1.001433e+00 9.970638e-01 1.019198e+00
9.220022e+02 1.005136e+00 9.993753e-01 1.019104e+00
9.320267e+02 1.005592e+00 1.000967e+00 1.019009e+00
9.420512e+02 1.003504e+00 9.990380e-01 1.018914e+00
9.520756e+02 9.971097e-01 9.941515e-01 1.018818e+00
9.621001e+02 1.012672e+00 1.008877e+00 1.018721e+00
9.721246e+02 1.010812e+00 1.008372e+00 1.018624e+00
9.821490e+02 1.002204e+00 9.994322e-01 1.018527e+00
9.921735e+02 1.007805e+00 1.002869e+00 1.018429e+00
1.002198e+03 1.003064e+00 9.984348e-01 1.018330e+00
1.012222e+03 1.008211e+00 1.004621e+00 1.018231e+00
1.022247e+03 1.003471e+00 9.999008e-01 1.018131e+00
1.032271e+03 9.956603e-01 9.923727e-01 1.018031e+00
1.042296e+03 1.002839e+00 9.990210e-01 1.017930e+00
1.052320e+03 1.007064e+00 1.003336e+00 1.017829e+00
1.062345e+03 1.012126e+00 1.009315e+00 1.017728e+00
1.072369e+03 1.011540e+00 1.008501e+00 1.017626e+00
1.082394e+03 1.022913e+00 1.019345e+00 1.017523e+00
1.092418e+03 1.012023e+00 1.008903e+00 1.017421e+00
1.102443e+03 1.002648e+00 1.000065e+00 1.017317e+00
1.112467e+03 1.009502e+00 1.007110e+00 1.017213e+00
1.122492e+03 1.003410e+00 1.001243e+00 1.017109e+00
1.132516e+03 9.958352e-01 9.926635e-01 1.017005e+00
1.142541e+03 1.017560e+00 1.013996e+00 1.016899e+00
1.152565e+03 1.005954e+00 1.001834e+00 1.016794e+00
1.162589e+03 1.006097e+00 1.004589e+00 1.016688e+00
1.172614e+03 9.913968e-01 9.888664e-01 1.016582e+00
1.182638e+03 1.008616e+00 1.006726e+00 1.016475e+00
1.192663e+03 9.926350e-01 9.884625e-01 1.016368e+00
1.202687e+03 9.969312e-01 9.949696e-01 1.016260e+00
1.212712e+03 1.012404e+00 1.008792e+00 1.016152e+00
1.222736e+03 1.023670e+00 1.021370e+00 1.016044e+00
1.232761e+03 1.001016e+00 9.981274e-01 1.015935e+00
1.242785e+03 1.004038e+00 1.001463e+00 1.015826e+00
1.252810e+03 9.997809e-01 9.996557e-01 1.015716e+00
1.262834e+03 1.001654e+00 1.000668e+00 1.015606e+00
1.272859e+03 9.875620e-01 9.867727e-01 1.015495e+00
1.282883e+03 1.010692e+00 1.008713e+00 1.015384e+00
1.292908e+03 1.004267e+00 1.001865e+00 1.015273e+00
1.302932e+03 9.979865e-01 9.964450e-01 1.015161e+00
1.312957e+03 9.961414e-01 9.942754e-01 1.015049e+00
1.322981e+03 9.935893e-01 9.939999e-01 1.014937e+00
1.333005e+03 1.006189e+00 1.005200e+00 1.014824e+00
1.343030e+03 1.002224e+00 9.979983e-01 1.014710e+00
1.353054e+03 1.003864e+00 1.001948e+00 1.014596e+00
1.363079e+03 1.008382e+00 1.007710e+00 1.014482e+00
1.373103e+03 1.008262e+00 1.006508e+00 1.014367e+00
1.383128e+03 1.000697e+00 1.000317e+00 1.014252e+00
1.393152e+03 1.003935e+00 1.003935e+00 1.014137e+00
1.403177e+03 1.000127e+00 9.992378e-01 1.014021e+00
1.413201e+03 1.002415e+00 1.003210e+00 1.013905e+00
1.423226e+03 9.879847e-01 9.867165e-01 1.013788e+00
1.433250e+03 9.998068e-01 1.000515e+00 1.013670e+00
1.443275e+03 1.002116e+00 1.001122e+00 1.013553e+00
1.453299e+03 9.968399e-01 9.944139e-01 1.013435e+00
1.463324e+03 1.008522e+00 1.007586e+00 1.013316e+00
1.473348e+03 1.003781e+00 1.002909e+00 1.013197e+00
