# Er_bin_center  residual
0.000000e+00 9.728547e-01
9.142788e-04 9.964536e-01
1.828558e-03 9.911368e-01
2.742836e-03 9.872206e-01
3.657115e-03 9.984442e-01
4.571394e-03 9.813173e-01
5.485673e-03 9.812945e-01
6.399952e-03 9.997982e-01
7.314231e-03 9.884078e-01
8.228509e-03 9.838404e-01
9.142788e-03 9.920700e-01
1.005707e-02 9.891353e-01
1.097135e-02 9.868573e-01
1.188562e-02 9.848603e-01
1.279990e-02 9.886064e-01
1.371418e-02 9.863727e-01
1.462846e-02 9.782418e-01
1.554274e-02 9.853932e-01
1.645702e-02 9.978744e-01
1.737130e-02 9.901095e-01
1.828558e-02 9.975414e-01
1.919986e-02 9.873797e-01
2.011413e-02 9.884457e-01
2.102841e-02 9.852738e-01
2.194269e-02 9.918692e-01
2.285697e-02 9.875719e-01
2.377125e-02 9.864151e-01
2.468553e-02 9.915447e-01
2.559981e-02 9.850035e-01
2.651409e-02 9.909261e-01
2.742836e-02 9.865167e-01
2.834264e-02 9.943849e-01
2.925692e-02 9.856596e-01
3.017120e-02 9.924898e-01
3.108548e-02 9.891323e-01
3.199976e-02 9.906037e-01
3.291404e-02 9.852107e-01
3.382832e-02 9.912687e-01
3.474259e-02 9.861901e-01
3.565687e-02 9.822719e-01
3.657115e-02 9.864332e-01
3.748543e-02 9.863243e-01
3.839971e-02 9.829672e-01
3.931399e-02 9.803186e-01
4.022827e-02 9.871333e-01
4.114255e-02 9.747600e-01
4.205683e-02 9.799493e-01
4.297110e-02 9.785368e-01
4.388538e-02 9.661069e-01
