# Er_bin_center  hist_tree  hist_soft  hist_hard
0.000000e+00 1.415100e+04 1.363900e+04 3.080000e+02
9.142788e-04 2.548200e+04 2.519500e+04 5.210000e+02
1.828558e-03 3.310800e+04 3.247300e+04 7.630000e+02
2.742836e-03 3.991300e+04 3.906400e+04 8.470000e+02
3.657115e-03 4.519600e+04 4.473700e+04 9.640000e+02
4.571394e-03 5.072700e+04 4.926700e+04 1.158000e+03
5.485673e-03 5.572100e+04 5.416300e+04 1.225000e+03
6.399952e-03 5.962900e+04 5.906200e+04 1.314000e+03
7.314231e-03 6.419600e+04 6.285700e+04 1.412000e+03
8.228509e-03 6.821500e+04 6.650700e+04 1.474000e+03
9.142788e-03 7.188500e+04 7.068600e+04 1.544000e+03
1.005707e-02 7.615400e+04 7.457000e+04 1.726000e+03
1.097135e-02 7.983600e+04 7.805300e+04 1.750000e+03
1.188562e-02 8.338900e+04 8.140000e+04 1.788000e+03
1.279990e-02 8.684700e+04 8.517300e+04 1.790000e+03
1.371418e-02 9.020300e+04 8.813300e+04 1.989000e+03
1.462846e-02 9.403100e+04 9.121200e+04 1.970000e+03
1.554274e-02 9.694000e+04 9.468500e+04 2.073000e+03
1.645702e-02 1.001540e+05 9.908200e+04 2.134000e+03
1.737130e-02 1.032120e+05 1.013950e+05 2.110000e+03
1.828558e-02 1.060300e+05 1.049130e+05 2.206000e+03
1.919986e-02 1.100840e+05 1.078390e+05 2.257000e+03
2.011413e-02 1.131890e+05 1.109530e+05 2.369000e+03
2.102841e-02 1.161820e+05 1.136190e+05 2.331000e+03
2.194269e-02 1.193860e+05 1.174850e+05 2.450000e+03
2.285697e-02 1.228520e+05 1.204510e+05 2.438000e+03
2.377125e-02 1.262220e+05 1.236020e+05 2.512000e+03
2.468553e-02 1.286860e+05 1.266610e+05 2.575000e+03
2.559981e-02 1.327610e+05 1.297970e+05 2.663000e+03
2.651409e-02 1.356890e+05 1.335780e+05 2.607000e+03
2.742836e-02 1.392510e+05 1.364280e+05 2.718000e+03
2.834264e-02 1.415480e+05 1.398470e+05 2.708000e+03
2.925692e-02 1.464840e+05 1.433540e+05 2.894000e+03
3.017120e-02 1.488750e+05 1.468260e+05 2.826000e+03
3.108548e-02 1.498700e+05 1.473260e+05 2.823000e+03
3.199976e-02 1.491160e+05 1.466700e+05 2.943000e+03
3.291404e-02 1.500030e+05 1.469170e+05 2.777000e+03
3.382832e-02 1.480740e+05 1.458130e+05 2.853000e+03
3.474259e-02 1.471460e+05 1.441320e+05 2.855000e+03
3.565687e-02 1.458340e+05 1.422880e+05 2.817000e+03
3.657115e-02 1.432780e+05 1.402730e+05 2.885000e+03
3.748543e-02 1.405320e+05 1.375620e+05 2.837000e+03
3.839971e-02 1.370970e+05 1.335680e+05 2.939000e+03
3.931399e-02 1.319020e+05 1.281580e+05 2.827000e+03
4.022827e-02 1.237470e+05 1.209420e+05 2.788000e+03
4.114255e-02 1.135030e+05 1.095670e+05 2.516000e+03
4.205683e-02 9.724900e+04 9.431200e+04 2.225000e+03
4.297110e-02 7.133100e+04 6.901800e+04 1.690000e+03
4.388538e-02 2.509000e+04 2.393800e+04 6.210000e+02
