# E2_bin_center  hist_tree  hist_soft  hist_hard  hist_hard_sum
5.109989e+02 1.448380e+05 1.469310e+05 1.441000e+03 3.000000e+01
5.553552e+02 2.658830e+05 2.683960e+05 2.660000e+03 1.760000e+02
5.997114e+02 3.611580e+05 3.634110e+05 3.997000e+03 5.390000e+02
6.440676e+02 4.510450e+05 4.534720e+05 5.374000e+03 9.710000e+02
6.884238e+02 5.395860e+05 5.401530e+05 6.832000e+03 1.681000e+03
7.327801e+02 6.225580e+05 6.249610e+05 8.285000e+03 2.568000e+03
7.771363e+02 7.095660e+05 7.103480e+05 1.000200e+04 3.509000e+03
8.214925e+02 7.915620e+05 7.945020e+05 1.182700e+04 4.708000e+03
8.658487e+02 8.774330e+05 8.759040e+05 1.372900e+04 5.939000e+03
9.102050e+02 9.599490e+05 9.576190e+05 1.568700e+04 7.420000e+03
9.545612e+02 1.042288e+06 1.038547e+06 1.776600e+04 8.874000e+03
9.989174e+02 1.118929e+06 1.115416e+06 1.982700e+04 1.068700e+04
1.043274e+03 1.200144e+06 1.192729e+06 2.224700e+04 1.267500e+04
1.087630e+03 1.276312e+06 1.267559e+06 2.455700e+04 1.447400e+04
1.131986e+03 1.353156e+06 1.340101e+06 2.686300e+04 1.670700e+04
1.176342e+03 1.423943e+06 1.411683e+06 2.917700e+04 1.876800e+04
1.220699e+03 1.496107e+06 1.480638e+06 3.126600e+04 2.110100e+04
1.265055e+03 1.563811e+06 1.543156e+06 3.390600e+04 2.320700e+04
1.309411e+03 1.627970e+06 1.606853e+06 3.613700e+04 2.567700e+04
1.353767e+03 1.689120e+06 1.664672e+06 3.862600e+04 2.829200e+04
1.398123e+03 1.749112e+06 1.723845e+06 4.094800e+04 3.062700e+04
1.442480e+03 1.805283e+06 1.775775e+06 4.312500e+04 3.326100e+04
1.486836e+03 1.856116e+06 1.824636e+06 4.531500e+04 3.517800e+04
1.531192e+03 1.903407e+06 1.867789e+06 4.754800e+04 3.866400e+04
1.575548e+03 1.950215e+06 1.913455e+06 4.955400e+04 4.032000e+04
1.619905e+03 1.991806e+06 1.948730e+06 5.182100e+04 4.325700e+04
1.664261e+03 2.029610e+06 1.983274e+06 5.329800e+04 4.543800e+04
1.708617e+03 2.059589e+06 2.012978e+06 5.559500e+04 4.792700e+04
1.752973e+03 2.089599e+06 2.039605e+06 5.724300e+04 5.024800e+04
1.797329e+03 2.111237e+06 2.059978e+06 5.869000e+04 5.245200e+04
1.841686e+03 2.132437e+06 2.079099e+06 6.072100e+04 5.498300e+04
1.886042e+03 2.149530e+06 2.090525e+06 6.209000e+04 5.676900e+04
1.930398e+03 2.157139e+06 2.098456e+06 6.287200e+04 5.900100e+04
1.974754e+03 2.164242e+06 2.106094e+06 6.416900e+04 6.083800e+04
2.019111e+03 2.163121e+06 2.104115e+06 6.544400e+04 6.261800e+04
2.063467e+03 2.166362e+06 2.099451e+06 6.627700e+04 6.420800e+04
2.107823e+03 2.156884e+06 2.089152e+06 6.712700e+04 6.630500e+04
2.152179e+03 2.143857e+06 2.075350e+06 6.770800e+04 6.726700e+04
2.196535e+03 2.131362e+06 2.059729e+06 6.760900e+04 6.868200e+04
2.240892e+03 2.110662e+06 2.040066e+06 6.773900e+04 6.955100e+04
2.285248e+03 2.084829e+06 2.012578e+06 6.814900e+04 7.013000e+04
2.329604e+03 2.057393e+06 1.984429e+06 6.768300e+04 7.058500e+04
2.373960e+03 2.023819e+06 1.948941e+06 6.757600e+04 7.172200e+04
2.418317e+03 1.990611e+06 1.914489e+06 6.704200e+04 7.190400e+04
2.462673e+03 1.949985e+06 1.871125e+06 6.651500e+04 7.149000e+04
2.507029e+03 1.906223e+06 1.829252e+06 6.555500e+04 7.170300e+04
2.551385e+03 1.857659e+06 1.781654e+06 6.487700e+04 7.123300e+04
2.595741e+03 1.805750e+06 1.729984e+06 6.370300e+04 7.105700e+04
2.640098e+03 1.753453e+06 1.680612e+06 6.193300e+04 7.001100e+04
2.684454e+03 1.696146e+06 1.622350e+06 6.077900e+04 6.910600e+04
2.728810e+03 1.636005e+06 1.563671e+06 5.913600e+04 6.776300e+04
2.773166e+03 1.572057e+06 1.502843e+06 5.725000e+04 6.632700e+04
2.817523e+03 1.510096e+06 1.440144e+06 5.550100e+04 6.506100e+04
2.861879e+03 1.441111e+06 1.372848e+06 5.346000e+04 6.387500e+04
2.906235e+03 1.372484e+06 1.306771e+06 5.174700e+04 6.157200e+04
2.950591e+03 1.302216e+06 1.239231e+06 4.931900e+04 5.994100e+04
2.994947e+03 1.231022e+06 1.169779e+06 4.683100e+04 5.756900e+04
3.039304e+03 1.157262e+06 1.097334e+06 4.451700e+04 5.514200e+04
3.083660e+03 1.083820e+06 1.026119e+06 4.187800e+04 5.254400e+04
3.128016e+03 1.009822e+06 9.576410e+05 3.923800e+04 4.963200e+04
3.172372e+03 9.325530e+05 8.847170e+05 3.644900e+04 4.700400e+04
3.216729e+03 8.592590e+05 8.134660e+05 3.382000e+04 4.397000e+04
3.261085e+03 7.856800e+05 7.406170e+05 3.148600e+04 4.105500e+04
3.305441e+03 7.122570e+05 6.721440e+05 2.845600e+04 3.780300e+04
3.349797e+03 6.402260e+05 6.021840e+05 2.590600e+04 3.452300e+04
3.394154e+03 5.708090e+05 5.348690e+05 2.307100e+04 3.157900e+04
3.438510e+03 5.013460e+05 4.711430e+05 2.059800e+04 2.823000e+04
3.482866e+03 4.346640e+05 4.078260e+05 1.791500e+04 2.491800e+04
3.527222e+03 3.732890e+05 3.495820e+05 1.521600e+04 2.171000e+04
3.571578e+03 3.130480e+05 2.927210e+05 1.287900e+04 1.881000e+04
3.615935e+03 2.560850e+05 2.399560e+05 1.075500e+04 1.567500e+04
3.660291e+03 2.043270e+05 1.908620e+05 8.856000e+03 1.295300e+04
3.704647e+03 1.574540e+05 1.463820e+05 6.589000e+03 1.023900e+04
3.749003e+03 1.151760e+05 1.073500e+05 4.963000e+03 7.629000e+03
