# E2_bin_center  hist_tree  hist_soft  hist_hard  hist_hard_sum
5.109989e+02 1.859300e+04 1.897400e+04 8.000000e+00 0.000000e+00
5.210266e+02 3.406800e+04 3.415100e+04 3.100000e+01 7.000000e+00
5.310543e+02 4.385400e+04 4.407300e+04 5.800000e+01 1.600000e+01
5.410820e+02 5.171000e+04 5.179400e+04 8.800000e+01 2.200000e+01
5.511097e+02 5.825800e+04 5.881900e+04 1.010000e+02 4.400000e+01
5.611374e+02 6.388500e+04 6.418100e+04 1.430000e+02 5.400000e+01
5.711651e+02 6.936700e+04 6.955300e+04 1.700000e+02 9.100000e+01
5.811928e+02 7.383400e+04 7.381600e+04 2.050000e+02 1.040000e+02
5.912205e+02 7.904700e+04 7.834000e+04 2.440000e+02 1.450000e+02
6.012482e+02 8.195400e+04 8.267700e+04 2.790000e+02 1.450000e+02
6.112759e+02 8.565300e+04 8.569000e+04 2.940000e+02 1.790000e+02
6.213036e+02 8.886200e+04 8.846700e+04 3.610000e+02 2.390000e+02
6.313313e+02 9.146400e+04 9.143300e+04 3.550000e+02 2.290000e+02
6.413589e+02 9.461600e+04 9.381700e+04 4.390000e+02 3.090000e+02
6.513866e+02 9.649900e+04 9.666700e+04 4.460000e+02 3.000000e+02
6.614143e+02 9.877300e+04 9.831500e+04 5.020000e+02 3.480000e+02
6.714420e+02 1.001400e+05 1.001950e+05 5.480000e+02 3.890000e+02
6.814697e+02 1.017050e+05 1.023550e+05 6.090000e+02 4.350000e+02
6.914974e+02 1.034680e+05 1.029570e+05 6.400000e+02 5.030000e+02
7.015251e+02 1.041400e+05 1.041620e+05 6.050000e+02 5.020000e+02
7.115528e+02 1.055600e+05 1.048120e+05 6.970000e+02 5.630000e+02
7.215805e+02 1.065070e+05 1.057190e+05 6.930000e+02 5.560000e+02
7.316082e+02 1.070700e+05 1.062620e+05 7.480000e+02 6.110000e+02
7.416359e+02 1.063060e+05 1.054780e+05 7.510000e+02 6.380000e+02
7.516636e+02 1.073200e+05 1.067010e+05 7.340000e+02 6.490000e+02
7.616913e+02 1.069380e+05 1.067290e+05 8.060000e+02 7.270000e+02
7.717190e+02 1.063800e+05 1.056620e+05 8.250000e+02 6.950000e+02
7.817466e+02 1.058310e+05 1.052070e+05 8.530000e+02 7.930000e+02
7.917743e+02 1.053770e+05 1.050180e+05 8.740000e+02 8.070000e+02
8.018020e+02 1.049840e+05 1.039720e+05 8.950000e+02 8.290000e+02
8.118297e+02 1.041540e+05 1.031010e+05 8.870000e+02 8.100000e+02
8.218574e+02 1.032480e+05 1.019640e+05 9.750000e+02 8.800000e+02
8.318851e+02 1.020100e+05 1.005390e+05 9.480000e+02 9.070000e+02
8.419128e+02 1.000040e+05 9.916400e+04 9.460000e+02 9.260000e+02
8.519405e+02 9.897400e+04 9.825400e+04 9.770000e+02 9.950000e+02
8.619682e+02 9.685700e+04 9.570400e+04 9.270000e+02 8.820000e+02
8.719959e+02 9.498600e+04 9.416700e+04 9.630000e+02 9.580000e+02
8.820236e+02 9.293600e+04 9.244400e+04 9.560000e+02 9.900000e+02
8.920513e+02 9.127300e+04 9.004500e+04 9.700000e+02 9.990000e+02
9.020790e+02 8.874700e+04 8.779600e+04 9.250000e+02 1.005000e+03
9.121066e+02 8.684700e+04 8.605600e+04 9.670000e+02 9.710000e+02
9.221343e+02 8.409300e+04 8.340600e+04 9.800000e+02 9.940000e+02
9.321620e+02 8.203200e+04 8.071700e+04 8.810000e+02 9.710000e+02
9.421897e+02 7.998300e+04 7.846800e+04 9.010000e+02 9.830000e+02
9.522174e+02 7.696000e+04 7.568400e+04 8.910000e+02 9.750000e+02
9.622451e+02 7.464300e+04 7.307000e+04 8.710000e+02 9.510000e+02
9.722728e+02 7.157800e+04 7.059800e+04 8.850000e+02 9.500000e+02
9.823005e+02 6.861900e+04 6.743000e+04 8.760000e+02 9.880000e+02
9.923282e+02 6.536900e+04 6.567900e+04 8.100000e+02 9.290000e+02
1.002356e+03 6.279300e+04 6.160700e+04 7.900000e+02 9.080000e+02
1.012384e+03 5.999300e+04 5.894200e+04 7.620000e+02 8.680000e+02
1.022411e+03 5.725600e+04 5.590900e+04 7.700000e+02 8.400000e+02
1.032439e+03 5.403900e+04 5.304000e+04 7.170000e+02 8.250000e+02
1.042467e+03 5.110900e+04 4.955500e+04 6.940000e+02 8.450000e+02
1.052494e+03 4.795300e+04 4.672900e+04 6.460000e+02 8.110000e+02
1.062522e+03 4.456100e+04 4.406700e+04 6.100000e+02 7.590000e+02
1.072550e+03 4.170900e+04 4.064200e+04 5.480000e+02 7.090000e+02
1.082577e+03 3.903000e+04 3.776400e+04 5.130000e+02 6.690000e+02
1.092605e+03 3.603500e+04 3.502200e+04 5.320000e+02 6.550000e+02
1.102633e+03 3.307100e+04 3.209700e+04 4.710000e+02 6.080000e+02
1.112660e+03 2.996400e+04 2.942800e+04 4.690000e+02 5.680000e+02
1.122688e+03 2.751500e+04 2.685100e+04 3.820000e+02 4.920000e+02
1.132716e+03 2.446400e+04 2.412300e+04 3.860000e+02 5.120000e+02
1.142744e+03 2.180000e+04 2.171200e+04 3.620000e+02 4.690000e+02
1.152771e+03 1.946000e+04 1.883600e+04 2.640000e+02 3.940000e+02
1.162799e+03 1.707500e+04 1.647900e+04 2.610000e+02 3.520000e+02
1.172827e+03 1.472100e+04 1.427400e+04 2.230000e+02 3.010000e+02
1.182854e+03 1.234300e+04 1.218300e+04 2.050000e+02 2.620000e+02
1.192882e+03 1.046200e+04 1.014500e+04 1.620000e+02 2.270000e+02
1.202910e+03 8.379000e+03 8.282000e+03 1.270000e+02 1.890000e+02
1.212937e+03 6.628000e+03 6.407000e+03 1.190000e+02 1.630000e+02
1.222965e+03 5.055000e+03 4.943000e+03 9.000000e+01 1.130000e+02
1.232993e+03 3.738000e+03 3.678000e+03 7.600000e+01 1.170000e+02
1.243020e+03 2.558000e+03 2.497000e+03 3.300000e+01 6.300000e+01
1.253048e+03 1.594000e+03 1.532000e+03 3.100000e+01 4.900000e+01
1.263076e+03 8.440000e+02 7.880000e+02 1.500000e+01 3.000000e+01
1.273104e+03 3.240000e+02 3.220000e+02 6.000000e+00 1.000000e+01
1.283131e+03 5.100000e+01 5.900000e+01 3.000000e+00 4.000000e+00
