# E2_bin_center  ratio_distinguishable  ratio_indistinguishable  sirlin
5.109989e+02 1.022293e+00 1.013117e+00 nan
5.553552e+02 1.017651e+00 1.008453e+00 1.026921e+00
5.997114e+02 1.019339e+00 1.009952e+00 1.026410e+00
6.440676e+02 1.012283e+00 1.002344e+00 1.025915e+00
6.884238e+02 1.014687e+00 1.005332e+00 1.025433e+00
7.327801e+02 1.016297e+00 1.007010e+00 1.024962e+00
7.771363e+02 1.017149e+00 1.007905e+00 1.024499e+00
8.214925e+02 1.018733e+00 1.009672e+00 1.024042e+00
8.658487e+02 1.013127e+00 1.004312e+00 1.023591e+00
9.102050e+02 1.015359e+00 1.006558e+00 1.023143e+00
9.545612e+02 1.010843e+00 1.002417e+00 1.022699e+00
9.989174e+02 1.011588e+00 1.003409e+00 1.022258e+00
1.043274e+03 1.012843e+00 1.005039e+00 1.021819e+00
1.087630e+03 1.007473e+00 9.996263e-01 1.021382e+00
1.131986e+03 1.009064e+00 1.001552e+00 1.020946e+00
1.176342e+03 1.010633e+00 1.003224e+00 1.020512e+00
1.220699e+03 1.009824e+00 1.002997e+00 1.020078e+00
1.265055e+03 1.010736e+00 1.004077e+00 1.019644e+00
1.309411e+03 1.009233e+00 1.002876e+00 1.019211e+00
1.353767e+03 1.006660e+00 1.000446e+00 1.018778e+00
1.398123e+03 1.005471e+00 9.998218e-01 1.018345e+00
1.442480e+03 1.007074e+00 1.001140e+00 1.017912e+00
1.486836e+03 1.005720e+00 1.000541e+00 1.017478e+00
1.531192e+03 1.005727e+00 1.000823e+00 1.017044e+00
1.575548e+03 1.008252e+00 1.003402e+00 1.016609e+00
1.619905e+03 1.005487e+00 1.001459e+00 1.016172e+00
1.664261e+03 1.006416e+00 1.002421e+00 1.015735e+00
1.708617e+03 1.006510e+00 1.002782e+00 1.015296e+00
1.752973e+03 1.003441e+00 9.999282e-01 1.014856e+00
1.797329e+03 1.002121e+00 9.991195e-01 1.014413e+00
1.841686e+03 1.002904e+00 1.000394e+00 1.013969e+00
1.886042e+03 1.001117e+00 9.987409e-01 1.013523e+00
1.930398e+03 1.001983e+00 1.000098e+00 1.013075e+00
1.974754e+03 1.001629e+00 1.000067e+00 1.012624e+00
2.019111e+03 9.979166e-01 9.968639e-01 1.012170e+00
2.063467e+03 9.997551e-01 9.989509e-01 1.011713e+00
2.107823e+03 1.002248e+00 1.001743e+00 1.011253e+00
2.152179e+03 9.978529e-01 9.976881e-01 1.010790e+00
2.196535e+03 9.990560e-01 9.994373e-01 1.010322e+00
2.240892e+03 9.983761e-01 9.993013e-01 1.009851e+00
2.285248e+03 9.953567e-01 9.967561e-01 1.009375e+00
2.329604e+03 9.979733e-01 9.990041e-01 1.008895e+00
2.373960e+03 9.978074e-01 9.996127e-01 1.008410e+00
2.418317e+03 9.964884e-01 9.986599e-01 1.007919e+00
2.462673e+03 9.941018e-01 9.969504e-01 1.007423e+00
2.507029e+03 9.956827e-01 9.986789e-01 1.006920e+00
2.551385e+03 9.955297e-01 9.992969e-01 1.006411e+00
2.595741e+03 9.942359e-01 9.978731e-01 1.005895e+00
2.640098e+03 9.942101e-01 9.985542e-01 1.005370e+00
2.684454e+03 9.947540e-01 9.996652e-01 1.004838e+00
2.728810e+03 9.924731e-01 9.981623e-01 1.004297e+00
2.773166e+03 9.879927e-01 9.938415e-01 1.003746e+00
2.817523e+03 9.913477e-01 9.977447e-01 1.003184e+00
2.861879e+03 9.887197e-01 9.954522e-01 1.002611e+00
2.906235e+03 9.912196e-01 9.989447e-01 1.002026e+00
2.950591e+03 9.905435e-01 9.984695e-01 1.001428e+00
2.994947e+03 9.897170e-01 9.982312e-01 1.000815e+00
3.039304e+03 9.906422e-01 1.000355e+00 1.000186e+00
3.083660e+03 9.874335e-01 9.973587e-01 9.995397e-01
3.128016e+03 9.865374e-01 9.962329e-01 9.988740e-01
3.172372e+03 9.868056e-01 9.982032e-01 9.981871e-01
3.216729e+03 9.839441e-01 9.951795e-01 9.974764e-01
3.261085e+03 9.818608e-01 9.947496e-01 9.967393e-01
3.305441e+03 9.881938e-01 1.001157e+00 9.959726e-01
3.349797e+03 9.843276e-01 9.979671e-01 9.951723e-01
3.394154e+03 9.868047e-01 1.002318e+00 9.943338e-01
3.438510e+03 9.786346e-01 9.942213e-01 9.934514e-01
3.482866e+03 9.794932e-01 9.962004e-01 9.925181e-01
3.527222e+03 9.802736e-01 9.975120e-01 9.915251e-01
3.571578e+03 9.726689e-01 9.910621e-01 9.904611e-01
3.615935e+03 9.776889e-01 9.967825e-01 9.893111e-01
3.660291e+03 9.783383e-01 9.990950e-01 9.880552e-01
3.704647e+03 9.679073e-01 9.900280e-01 9.866652e-01
3.749003e+03 9.806160e-01 1.003741e+00 9.851002e-01
3.793360e+03 9.801034e-01 1.007261e+00 9.832968e-01
3.837716e+03 9.826533e-01 1.008202e+00 9.811491e-01
3.882072e+03 9.572617e-01 9.875250e-01 9.784593e-01
3.926428e+03 9.815668e-01 1.014244e+00 9.747844e-01
3.970784e+03 9.840116e-01 1.018895e+00 9.687156e-01
