# E2_bin_center  ratio_distinguishable  ratio_indistinguishable  sirlin
5.109989e+02 1.000444e+00 9.998655e-01 nan
5.210266e+02 1.007257e+00 1.006334e+00 1.018746e+00
5.310543e+02 9.988596e-01 9.978894e-01 1.018682e+00
5.410820e+02 1.008341e+00 1.007304e+00 1.018615e+00
5.511097e+02 1.004147e+00 1.003051e+00 1.018542e+00
5.611374e+02 1.005283e+00 1.004074e+00 1.018466e+00
5.711651e+02 1.007170e+00 1.005895e+00 1.018386e+00
5.811928e+02 1.004686e+00 1.003401e+00 1.018301e+00
5.912205e+02 1.003995e+00 1.002675e+00 1.018213e+00
6.012482e+02 1.005839e+00 1.004492e+00 1.018122e+00
6.112759e+02 1.003942e+00 1.002458e+00 1.018027e+00
6.213036e+02 1.004458e+00 1.003153e+00 1.017929e+00
6.313313e+02 9.996840e-01 9.980765e-01 1.017827e+00
6.413589e+02 1.002193e+00 1.000727e+00 1.017722e+00
6.513866e+02 1.006733e+00 1.005254e+00 1.017615e+00
6.614143e+02 1.000213e+00 9.988176e-01 1.017504e+00
6.714420e+02 1.004616e+00 1.003404e+00 1.017390e+00
6.814697e+02 9.993265e-01 9.977112e-01 1.017273e+00
6.914974e+02 1.002256e+00 1.000875e+00 1.017154e+00
7.015251e+02 1.000737e+00 9.995238e-01 1.017031e+00
7.115528e+02 1.002106e+00 1.001099e+00 1.016906e+00
7.215805e+02 9.994790e-01 9.983829e-01 1.016778e+00
7.316082e+02 1.001422e+00 1.000303e+00 1.016648e+00
7.416359e+02 1.000528e+00 9.992752e-01 1.016515e+00
7.516636e+02 1.002851e+00 1.001768e+00 1.016379e+00
7.616913e+02 1.001873e+00 1.000958e+00 1.016240e+00
7.717190e+02 1.000824e+00 9.999227e-01 1.016099e+00
7.817466e+02 1.000915e+00 1.000035e+00 1.015955e+00
7.917743e+02 1.001179e+00 1.000239e+00 1.015808e+00
8.018020e+02 9.997451e-01 9.989708e-01 1.015658e+00
8.118297e+02 9.986142e-01 9.978768e-01 1.015506e+00
8.218574e+02 9.988276e-01 9.982596e-01 1.015351e+00
8.318851e+02 1.002197e+00 1.001654e+00 1.015194e+00
8.419128e+02 9.982582e-01 9.981685e-01 1.015033e+00
8.519405e+02 9.988425e-01 9.986906e-01 1.014869e+00
8.619682e+02 9.969291e-01 9.966176e-01 1.014703e+00
8.719959e+02 9.985705e-01 9.986098e-01 1.014534e+00
8.820236e+02 9.985166e-01 9.985675e-01 1.014361e+00
8.920513e+02 1.001713e+00 1.002000e+00 1.014185e+00
9.020790e+02 9.991738e-01 9.992942e-01 1.014007e+00
9.121066e+02 9.987316e-01 9.996203e-01 1.013824e+00
9.221343e+02 1.001659e+00 1.002509e+00 1.013639e+00
9.321620e+02 9.972522e-01 9.976731e-01 1.013449e+00
9.421897e+02 9.952646e-01 9.959931e-01 1.013256e+00
9.522174e+02 9.982826e-01 9.997528e-01 1.013059e+00
9.622451e+02 9.988629e-01 9.999258e-01 1.012859e+00
9.722728e+02 9.993869e-01 1.000557e+00 1.012653e+00
9.823005e+02 9.983034e-01 1.000029e+00 1.012444e+00
9.923282e+02 9.979517e-01 9.993046e-01 1.012230e+00
1.002356e+03 9.952466e-01 9.972480e-01 1.012011e+00
1.012384e+03 9.968204e-01 9.988844e-01 1.011786e+00
1.022411e+03 9.956641e-01 9.983141e-01 1.011557e+00
1.032439e+03 9.950679e-01 9.971717e-01 1.011321e+00
1.042467e+03 9.898692e-01 9.922920e-01 1.011080e+00
1.052494e+03 9.902881e-01 9.934735e-01 1.010831e+00
1.062522e+03 9.981146e-01 1.001049e+00 1.010576e+00
1.072550e+03 9.964627e-01 9.991530e-01 1.010313e+00
1.082577e+03 9.982705e-01 1.001291e+00 1.010041e+00
1.092605e+03 9.984442e-01 1.002253e+00 1.009761e+00
1.102633e+03 9.959889e-01 9.994834e-01 1.009471e+00
1.112660e+03 9.870036e-01 9.906768e-01 1.009170e+00
1.122688e+03 9.874728e-01 9.924400e-01 1.008856e+00
1.132716e+03 9.925918e-01 9.967018e-01 1.008530e+00
1.142744e+03 9.916941e-01 9.967712e-01 1.008189e+00
1.152771e+03 9.884452e-01 9.938691e-01 1.007831e+00
1.162799e+03 9.853220e-01 9.909199e-01 1.007453e+00
1.172827e+03 1.001704e+00 1.008897e+00 1.007054e+00
1.182854e+03 1.004768e+00 1.011769e+00 1.006629e+00
1.192882e+03 9.936102e-01 1.000484e+00 1.006173e+00
1.202910e+03 9.856149e-01 9.931626e-01 1.005681e+00
1.212937e+03 9.925190e-01 1.000447e+00 1.005145e+00
1.222965e+03 9.920531e-01 1.000824e+00 1.004552e+00
1.232993e+03 9.753747e-01 9.848815e-01 1.003886e+00
1.243020e+03 9.944795e-01 1.003746e+00 1.003120e+00
1.253048e+03 9.813645e-01 9.902085e-01 1.002213e+00
1.263076e+03 9.797644e-01 9.918454e-01 1.001082e+00
1.273104e+03 1.018503e+00 1.030278e+00 9.995465e-01
1.283131e+03 1.088757e+00 1.106509e+00 9.970330e-01
