# Er_bin_center  residual
0.000000e+00 9.882950e-01
2.886605e-02 9.903706e-01
5.773210e-02 9.911027e-01
8.659815e-02 9.897393e-01
1.154642e-01 9.883023e-01
1.443302e-01 9.903398e-01
1.731963e-01 9.905462e-01
2.020623e-01 9.897433e-01
2.309284e-01 9.904046e-01
2.597944e-01 9.901516e-01
2.886605e-01 9.887619e-01
3.175265e-01 9.894353e-01
3.463926e-01 9.900806e-01
3.752586e-01 9.886214e-01
4.041247e-01 9.891407e-01
4.329907e-01 9.910972e-01
4.618568e-01 9.913150e-01
4.907228e-01 9.893177e-01
5.195889e-01 9.905030e-01
5.484549e-01 9.898239e-01
5.773210e-01 9.896510e-01
6.061870e-01 9.885955e-01
6.350531e-01 9.910456e-01
6.639191e-01 9.907245e-01
6.927852e-01 9.902064e-01
7.216512e-01 9.889136e-01
7.505173e-01 9.908150e-01
7.793833e-01 9.896637e-01
8.082494e-01 9.894487e-01
8.371154e-01 9.885392e-01
8.659815e-01 9.911798e-01
8.948475e-01 9.895647e-01
9.237136e-01 9.891974e-01
9.525796e-01 9.895601e-01
9.814457e-01 9.882512e-01
1.010312e+00 9.887662e-01
1.039178e+00 9.883653e-01
1.068044e+00 9.902271e-01
1.096910e+00 9.883421e-01
1.125776e+00 9.887526e-01
1.154642e+00 9.886043e-01
1.183508e+00 9.893529e-01
1.212374e+00 9.865833e-01
1.241240e+00 9.866640e-01
1.270106e+00 9.867698e-01
1.298972e+00 9.855446e-01
1.327838e+00 9.829305e-01
1.356704e+00 9.775168e-01
1.385570e+00 9.676030e-01
