# Er_bin_center  residual
0.000000e+00 1.001664e+00
1.532559e-02 9.807181e-01
3.065117e-02 9.876274e-01
4.597676e-02 9.825801e-01
6.130234e-02 9.799867e-01
7.662793e-02 9.883075e-01
9.195352e-02 9.869757e-01
1.072791e-01 9.895257e-01
1.226047e-01 9.820161e-01
1.379303e-01 9.842079e-01
1.532559e-01 9.818733e-01
1.685814e-01 9.885374e-01
1.839070e-01 9.921510e-01
1.992326e-01 9.860468e-01
2.145582e-01 9.821070e-01
2.298838e-01 9.834214e-01
2.452094e-01 9.846612e-01
2.605350e-01 9.859580e-01
2.758605e-01 9.911679e-01
2.911861e-01 9.809800e-01
3.065117e-01 9.881572e-01
3.218373e-01 9.910997e-01
3.371629e-01 9.846892e-01
3.524885e-01 9.912507e-01
3.678141e-01 9.889407e-01
3.831397e-01 9.827964e-01
3.984652e-01 9.814800e-01
4.137908e-01 9.867260e-01
4.291164e-01 9.910538e-01
4.444420e-01 9.853546e-01
4.597676e-01 9.812783e-01
4.750932e-01 9.837214e-01
4.904188e-01 9.763970e-01
5.057443e-01 9.790472e-01
5.210699e-01 9.869803e-01
5.363955e-01 9.900071e-01
5.517211e-01 9.849535e-01
5.670467e-01 9.826175e-01
5.823723e-01 9.830254e-01
5.976979e-01 9.842778e-01
6.130234e-01 9.804917e-01
6.283490e-01 9.802290e-01
6.436746e-01 9.825552e-01
6.590002e-01 9.782890e-01
6.743258e-01 9.793145e-01
6.896514e-01 9.726904e-01
7.049770e-01 9.561823e-01
7.203025e-01 9.941895e-01
7.356281e-01 1.038375e+00
