# Er_bin_center  hist_tree  hist_soft  hist_hard
0.000000e+00 4.961120e+05 4.805600e+05 1.519200e+04
2.886605e-02 8.955470e+05 8.693010e+05 2.745500e+04
5.773210e-02 1.143576e+06 1.110946e+06 3.501100e+04
8.659815e-02 1.334400e+06 1.295438e+06 3.992100e+04
1.154642e-01 1.493884e+06 1.447345e+06 4.546600e+04
1.443302e-01 1.626745e+06 1.579701e+06 4.919000e+04
1.731963e-01 1.740343e+06 1.690008e+06 5.299000e+04
2.020623e-01 1.844423e+06 1.790240e+06 5.551600e+04
2.309284e-01 1.933586e+06 1.878204e+06 5.805800e+04
2.597944e-01 2.010604e+06 1.951738e+06 6.114000e+04
2.886605e-01 2.083649e+06 2.020221e+06 6.288900e+04
3.175265e-01 2.146117e+06 2.082725e+06 6.428200e+04
3.463926e-01 2.198144e+06 2.134267e+06 6.620700e+04
3.752586e-01 2.249497e+06 2.181308e+06 6.729100e+04
4.041247e-01 2.289985e+06 2.221667e+06 6.859300e+04
4.329907e-01 2.324498e+06 2.259372e+06 6.995300e+04
4.618568e-01 2.356611e+06 2.291251e+06 7.076700e+04
4.907228e-01 2.386373e+06 2.315942e+06 7.114000e+04
5.195889e-01 2.409647e+06 2.340769e+06 7.245000e+04
5.484549e-01 2.427562e+06 2.356813e+06 7.269900e+04
5.773210e-01 2.442962e+06 2.371083e+06 7.341900e+04
6.061870e-01 2.455712e+06 2.381693e+06 7.297500e+04
6.350531e-01 2.460253e+06 2.392355e+06 7.288000e+04
6.639191e-01 2.464864e+06 2.395994e+06 7.307000e+04
6.927852e-01 2.465851e+06 2.395685e+06 7.309000e+04
7.216512e-01 2.466459e+06 2.393325e+06 7.287000e+04
7.505173e-01 2.460916e+06 2.392135e+06 7.319700e+04
7.793833e-01 2.450516e+06 2.379685e+06 7.240700e+04
8.082494e-01 2.440699e+06 2.369443e+06 7.230100e+04
8.371154e-01 2.430388e+06 2.357763e+06 7.145500e+04
8.659815e-01 2.409706e+06 2.343663e+06 7.124600e+04
8.948475e-01 2.393015e+06 2.324007e+06 7.031000e+04
9.237136e-01 2.370482e+06 2.301460e+06 6.944100e+04
9.525796e-01 2.346585e+06 2.279216e+06 6.863500e+04
9.814457e-01 2.319895e+06 2.250591e+06 6.751900e+04
1.010312e+00 2.291599e+06 2.224403e+06 6.661300e+04
1.039178e+00 2.260069e+06 2.193087e+06 6.550100e+04
1.068044e+00 2.223718e+06 2.161814e+06 6.458700e+04
1.096910e+00 2.188579e+06 2.123880e+06 6.321400e+04
1.125776e+00 2.145976e+06 2.083375e+06 6.202600e+04
1.154642e+00 2.102121e+06 2.040397e+06 6.084900e+04
1.183508e+00 2.049315e+06 1.991294e+06 5.870200e+04
1.212374e+00 1.996089e+06 1.934158e+06 5.706600e+04
1.241240e+00 1.933327e+06 1.873637e+06 5.513400e+04
1.270106e+00 1.854028e+06 1.797465e+06 5.239000e+04
1.298972e+00 1.754015e+06 1.698730e+06 4.918800e+04
1.327838e+00 1.602761e+06 1.548401e+06 4.459900e+04
1.356704e+00 1.303480e+06 1.252528e+06 3.595700e+04
1.385570e+00 5.253170e+05 4.990390e+05 1.502700e+04
