# Er_bin_center  hist_tree  hist_soft  hist_hard
0.000000e+00 2.868100e+04 2.893900e+04 2.210000e+02
1.532559e-02 5.206300e+04 5.150500e+04 3.370000e+02
3.065117e-02 6.643000e+04 6.615800e+04 4.490000e+02
4.597676e-02 7.763900e+04 7.690000e+04 5.540000e+02
6.130234e-02 8.661200e+04 8.555900e+04 6.220000e+02
7.662793e-02 9.418200e+04 9.382200e+04 6.750000e+02
9.195352e-02 1.008580e+05 1.002880e+05 7.730000e+02
1.072791e-01 1.067330e+05 1.064540e+05 7.660000e+02
1.226047e-01 1.123260e+05 1.111970e+05 7.980000e+02
1.379303e-01 1.165510e+05 1.156350e+05 8.280000e+02
1.532559e-01 1.207280e+05 1.195180e+05 8.370000e+02
1.685814e-01 1.239330e+05 1.234710e+05 9.050000e+02
1.839070e-01 1.261810e+05 1.261090e+05 9.790000e+02
1.992326e-01 1.291680e+05 1.283480e+05 9.600000e+02
2.145582e-01 1.323580e+05 1.310440e+05 9.360000e+02
2.298838e-01 1.336300e+05 1.324160e+05 1.008000e+03
2.452094e-01 1.358940e+05 1.348150e+05 1.038000e+03
2.605350e-01 1.366790e+05 1.357890e+05 1.026000e+03
2.758605e-01 1.371490e+05 1.368990e+05 1.101000e+03
2.911861e-01 1.393450e+05 1.377470e+05 1.043000e+03
3.065117e-01 1.383740e+05 1.377390e+05 1.077000e+03
3.218373e-01 1.391600e+05 1.389560e+05 1.058000e+03
3.371629e-01 1.388420e+05 1.377150e+05 1.089000e+03
3.524885e-01 1.383640e+05 1.381590e+05 1.075000e+03
3.678141e-01 1.375130e+05 1.368740e+05 1.186000e+03
3.831397e-01 1.370850e+05 1.356380e+05 1.150000e+03
3.984652e-01 1.366680e+05 1.350400e+05 1.152000e+03
4.137908e-01 1.344240e+05 1.335560e+05 1.105000e+03
4.291164e-01 1.318370e+05 1.315270e+05 1.113000e+03
4.444420e-01 1.302070e+05 1.291030e+05 1.155000e+03
4.597676e-01 1.286440e+05 1.270740e+05 1.096000e+03
4.750932e-01 1.248510e+05 1.236180e+05 1.078000e+03
4.904188e-01 1.231620e+05 1.210060e+05 1.101000e+03
5.057443e-01 1.188350e+05 1.170540e+05 1.078000e+03
5.210699e-01 1.145040e+05 1.136270e+05 1.108000e+03
5.363955e-01 1.098300e+05 1.093530e+05 1.031000e+03
5.517211e-01 1.055420e+05 1.044740e+05 1.067000e+03
5.670467e-01 1.001930e+05 9.899700e+04 9.610000e+02
5.823723e-01 9.444800e+04 9.326700e+04 9.980000e+02
5.976979e-01 8.757700e+04 8.658100e+04 9.360000e+02
6.130234e-01 8.051400e+04 7.926800e+04 8.860000e+02
6.283490e-01 7.203300e+04 7.088900e+04 8.030000e+02
6.436746e-01 6.354500e+04 6.265200e+04 7.400000e+02
6.590002e-01 5.334200e+04 5.237900e+04 6.070000e+02
6.743258e-01 4.266700e+04 4.188100e+04 5.450000e+02
6.896514e-01 3.104500e+04 3.029000e+04 3.740000e+02
7.049770e-01 1.952700e+04 1.871600e+04 2.490000e+02
7.203025e-01 8.779000e+03 8.749000e+03 1.110000e+02
7.356281e-01 1.348000e+03 1.400000e+03 2.000000e+01
